date,open,high,low,close,volume,tic
2018-01-01,8.5478,8.7,7.8,8.45,654338.84,BNB-USD
2018-01-01,13715.65,13818.55,12750.0,13380.0,8609.915844,BTC-USD
2018-01-01,733.01,763.55,716.8,754.99,53909.25885,ETH-USD
2018-01-02,8.45,9.1133,8.0922,8.715,1262633.42,BNB-USD
2018-01-02,13382.16,15473.49,12890.02,14675.11,20078.092111,BTC-USD
2018-01-02,754.99,899.5,749.06,855.28,113257.78355,ETH-USD
2018-01-03,8.7151,9.4697,8.2653,9.304,947392.65,BNB-USD
2018-01-03,14690.0,15307.56,14150.0,14919.51,15905.667639,BTC-USD
2018-01-03,855.13,950.01,810.0,934.03,89041.45688,ETH-USD
2018-01-04,9.304,9.6511,8.5595,9.143,964494.94,BNB-USD
2018-01-04,14919.51,15280.0,13918.04,15059.54,21329.649574,BTC-USD
2018-01-04,934.03,1009.72,890.01,940.0,102894.47384,ETH-USD
2018-01-05,9.135,16.8172,8.9651,14.8908,2764977.04,BNB-USD
2018-01-05,15059.56,17176.24,14600.0,16960.39,23251.491125,BTC-USD
2018-01-05,940.0,1045.0,930.0,959.3,97374.0163,ETH-USD
2018-01-06,14.8908,23.6,14.6999,22.6,3130487.22,BNB-USD
2018-01-06,16960.39,17143.13,16011.21,17069.79,18571.457508,BTC-USD
2018-01-06,958.0,1017.56,950.0,1004.11,71954.27895,ETH-USD
2018-01-07,22.6,22.6599,18.05,18.594,1543764.49,BNB-USD
2018-01-07,17069.79,17099.96,15610.0,16150.03,12493.125558,BTC-USD
2018-01-07,1003.71,1125.0,999.9,1123.09,65278.81957,ETH-USD
2018-01-08,18.5375,19.2999,14.0018,17.9971,2112065.22,BNB-USD
2018-01-08,16218.85,16322.3,12812.0,14902.54,26600.609912,BTC-USD
2018-01-08,1123.09,1239.18,910.0,1133.18,158831.54798,ETH-USD
2018-01-09,18.04,20.6114,16.435,17.399,1309277.95,BNB-USD
2018-01-09,14902.54,15500.0,14011.05,14400.0,14315.004253,BTC-USD
2018-01-09,1133.18,1326.5,1104.85,1291.0,118702.88684,ETH-USD
2018-01-10,17.3992,17.5554,14.6004,17.5,1172651.15,BNB-USD
2018-01-10,14401.0,14955.66,13131.31,14907.09,17411.001655,BTC-USD
2018-01-10,1291.0,1440.0,1201.1,1247.0,160185.0129,ETH-USD
2018-01-11,17.5,23.1079,13.66,21.2024,3542366.83,BNB-USD
2018-01-11,14940.0,14968.68,11400.0,13238.78,33554.723751,BTC-USD
2018-01-11,1249.03,1332.49,1021.0,1138.93,194546.29387,ETH-USD
2018-01-12,21.1022,25.18,19.1,22.1999,2902338.37,BNB-USD
2018-01-12,13238.76,14109.78,12500.0,13740.01,16417.162137,BTC-USD
2018-01-12,1136.45,1288.5,1069.01,1253.87,93763.47261,ETH-USD
2018-01-13,22.1999,23.4998,21.04,22.0246,1080455.71,BNB-USD
2018-01-13,13749.95,14580.0,13706.15,14210.0,12221.508528,BTC-USD
2018-01-13,1253.87,1427.01,1252.0,1388.02,75893.43201,ETH-USD
2018-01-14,22.0252,22.1,18.21,20.4541,1384083.33,BNB-USD
2018-01-14,14210.0,14339.5,12569.2,13474.99,17017.894329,BTC-USD
2018-01-14,1388.1,1391.89,1220.89,1347.0,98391.19585,ETH-USD
2018-01-15,20.4546,23.231,19.0113,19.3396,2288556.77,BNB-USD
2018-01-15,13477.98,14249.99,13147.79,13539.93,14652.094705,BTC-USD
2018-01-15,1347.99,1383.13,1258.12,1271.0,69236.70476,ETH-USD
2018-01-16,19.4376,19.4475,9.89,13.1996,9933431.45,BNB-USD
2018-01-16,13500.0,13542.93,9035.0,10900.0,63401.169175,BTC-USD
2018-01-16,1268.67,1275.01,780.0,1000.0,343889.36509,ETH-USD
2018-01-17,13.0262,15.7,9.4001,14.1998,9971697.17,BNB-USD
2018-01-17,10899.99,11680.99,9037.94,10988.79,72331.796646,BTC-USD
2018-01-17,999.99,1075.51,755.0,1000.0,436333.67326,ETH-USD
2018-01-18,14.1191,15.9,13.0203,14.1397,6699252.37,BNB-USD
2018-01-18,10972.59,11878.82,10435.33,10961.97,48464.434937,BTC-USD
2018-01-18,1000.0,1075.2,924.21,994.0,294545.71207,ETH-USD
2018-01-19,14.0405,15.4799,13.501,14.9447,3004070.17,BNB-USD
2018-01-19,10960.0,11795.0,10360.0,11474.98,34129.375421,BTC-USD
2018-01-19,993.3,1079.0,941.0,1032.5,167954.11253,ETH-USD
2018-01-20,14.9447,16.68,14.8249,16.1712,2617140.33,BNB-USD
2018-01-20,11474.98,13099.0,11412.45,12799.94,28768.857827,BTC-USD
2018-01-20,1032.5,1165.4,1031.0,1152.75,123352.58362,ETH-USD
2018-01-21,16.1602,16.26,13.0339,14.1334,3318363.34,BNB-USD
2018-01-21,12799.8,12799.8,10965.0,11530.0,41379.773426,BTC-USD
