agent,window,train_start,train_end,val_start,val_end,trade_start,trade_end,sharpe (ann - trade),sharpe (best - val),sortino,min_account_value,max_account_value,total_return (CAGR),mean_return,volatility (std),max_drawdown,initial_acc_val,final_acc_val
A2C,1,2020-05-04,2021-05-03,2021-05-04,2021-08-02,2021-08-03,2021-11-01,2.70796596722928,0.514721625330906,4.00666862172261,"1,000,000.00","1,639,335.20",0.62,0.00648736637914708,0.045769024480706,0.323932409135644,1000000,"1,621,716.50"
DDPG,2,2020-07-04,2021-07-03,2021-07-04,2021-10-02,2021-10-03,2022-01-01,0.0334526135559824,0.681459937140751,0.0473691341862669,"958,527.40","1,386,420.00",-0.04,5.61390719110183E-05,0.0320613353903982,0.308631294994426,1000000,"960,242.00"
A2C,3,2020-09-04,2021-09-03,2021-09-04,2021-12-02,2021-12-03,2022-03-03,-1.63327756988377,0.457359739936158,-2.59046715414667,"599,388.04","1,020,396.04",-0.31,-0.00340502844937406,0.0398297131996222,0.412592741931848,1000000,"687,924.04"
PPO,4,2020-11-04,2021-11-03,2021-11-04,2022-02-01,2022-02-02,2022-04-30,0.699241663598748,0.593405092061277,1.17453236074509,"985,208.08","1,241,426.20",0.06,0.00118731681094274,0.0324403664764483,0.165715373794927,1000000,"1,059,437.82"
A2C,5,2021-01-04,2022-01-03,2022-01-04,2022-04-04,2022-04-05,2022-07-03,-4.43491915640656,0.655802037388957,-5.58220142512578,"411,483.89","1,000,000.00",-0.58,-0.00907538208872791,0.0390953984140626,0.588516113942,1000000,"418,340.75"
DDPG,6,2021-03-04,2022-03-03,2022-03-04,2022-06-02,2022-06-03,2022-08-31,-0.0475039399311358,0.457659136159119,-0.0711005395918374,"560,765.69","1,117,246.15",-0.14,-0.000140891429129176,0.0566632363113032,0.435742588753434,1000000,"858,851.67"
A2C,7,2021-05-04,2022-05-03,2022-05-04,2022-08-02,2022-08-03,2022-11-01,0.546296313060623,0.894329575059831,0.704030821002844,"832,126.22","1,153,567.44",0.04,0.000834118122144534,0.0291706240129849,0.278649696560139,1000000,"1,036,917.81"
PPO,8,2021-07-04,2022-07-03,2022-07-04,2022-10-02,2022-10-03,2023-01-01,-1.05669723459614,0.437570980185777,-1.21358881021463,"804,536.57","1,087,577.09",-0.16,-0.00152252002091064,0.0275269994137149,0.260248697418028,1000000,"843,715.94"
DDPG,9,2021-09-04,2022-09-03,2022-09-04,2022-12-02,2022-12-03,2023-03-03,0.510629365334574,0.40676725396227,0.669158559990983,"796,074.42","1,146,571.82",0.03,0.000703958817321211,0.0263383096114978,0.181973599228102,1000000,"1,032,264.22"
A2C,10,2021-11-04,2022-11-03,2022-11-04,2023-02-01,2023-02-02,2023-04-30,0.1914823305926,0.468673982210023,0.279767561397168,"853,123.91","1,074,748.61",0.00,0.000251041865831276,0.025047470947061,0.163881233194183,1000000,"995,000.81"
A2C,11,2022-01-04,2023-01-03,2023-01-04,2023-04-04,2023-04-05,2023-07-03,-1.30129106554866,0.361521336232446,-1.5085566475867,"782,654.93","1,098,696.13",-0.14,-0.00146427480834422,0.0214978275608003,0.287651144999747,1000000,"861,160.97"
PPO,12,2022-03-04,2023-03-03,2023-03-04,2023-06-02,2023-06-03,2023-08-31,-0.44619827068311,0.309659502449391,-0.619546610611287,"894,556.73","1,099,709.07",-0.06,-0.000465005183854907,0.0199102330673995,0.179011724543989,1000000,"943,471.06"
A2C,13,2022-05-04,2023-05-03,2023-05-04,2023-08-02,2023-08-03,2023-11-01,0.584388001704386,0.296994089624846,0.787139696900315,"852,060.33","1,035,118.81",0.04,0.000544109545182314,0.0177881788031289,0.156701221426251,1000000,"1,035,118.81"
DDPG,14,2022-07-04,2023-07-03,2023-07-04,2023-10-02,2023-10-03,2024-01-01,3.26364368304768,0.346977795201159,4.74949032343255,"960,562.82","1,517,839.82",0.46,0.00462205542313634,0.0270569502819649,0.0913250518010632,1000000,"1,460,238.92"
A2C,15,2022-09-04,2023-09-03,2023-09-04,2023-12-02,2023-12-03,2024-03-02,3.96369621703256,0.339976632649242,6.76643076971427,"998,334.84","1,570,866.96",0.57,0.00542200611491316,0.0261340112121847,0.112528351062216,1000000,"1,570,866.96"
PPO,16,2022-11-04,2023-11-03,2023-11-04,2024-02-01,2024-02-02,2024-04-30,4.13856000308564,0.298343508141846,5.99819380745235,"994,654.33","1,916,082.20",0.75,0.00697519279563458,0.0321998161554999,0.17865300365005,1000000,"1,751,931.17"
A2C,17,2023-01-04,2024-01-03,2024-01-04,2024-04-03,2024-04-04,2024-07-02,0.116211506499318,0.743848538327037,0.193459928796543,"890,843.02","1,167,587.29",-0.01,0.000149638274786783,0.0246002767867322,0.171075498486336,1000000,"987,129.12"
DDPG,18,2023-03-04,2024-03-03,2024-03-04,2024-06-02,2024-06-03,2024-08-31,-0.775958308588479,0.773873575263266,-1.21032823356202,"741,028.83","1,135,240.83",-0.15,-0.00128990012758891,0.0317588033566568,0.347249667891648,1000000,"854,344.83"
PPO,19,2023-05-04,2024-05-03,2024-05-04,2024-08-02,2024-08-03,2024-11-01,1.43568620866818,0.200293288603007,2.39538405405677,"891,169.27","1,198,750.73",0.16,0.00199223744508983,0.0265111155320416,0.141025465632085,1000000,"1,157,947.27"
A2C,20,2023-07-04,2024-07-03,2024-07-04,2024-10-02,2024-10-03,2025-01-01,2.2204472145969,0.519485791552859,4.10159448407512,"1,000,000.00","1,375,928.23",0.29,0.00322958208350384,0.0277876810872651,0.133297832043637,1000000,"1,288,912.53"
PPO,21,2023-09-04,2024-09-03,2024-09-04,2024-12-02,2024-12-03,2025-03-03,-1.75787239462273,0.740190527399838,-2.61773666325343,"651,826.25","1,081,752.30",-0.27,-0.00296147965262358,0.0321860616808143,0.397434837042395,1000000,"733,674.58"
A2C,22,2023-11-04,2024-11-03,2024-11-04,2025-02-01,2025-02-02,2025-04-30,-0.688482929218048,0.423364056716374,-0.967249891182788,"708,172.25","1,000,442.08",-0.13,-0.0011107822128744,0.0308235157026002,0.292140683709804,1000000,"872,897.68"
