agent,window,train_start,train_end,val_start,val_end,trade_start,trade_end,sharpe (ann - trade),sharpe (best - val),sortino,min_account_value,max_account_value,total_return (CAGR),mean_return,volatility (std),max_drawdown,initial_acc_val,final_acc_val
PPO,1,2020-05-04,2021-05-03,2021-05-04,2021-08-02,2021-08-03,2021-11-01,2.7865821934243273,0.7387136799880227,4.288693303307818,1000000.0,1604514.018245477,0.5672826988367525,0.005862923811792744,0.04019655419208806,0.24743737560556034,1000000.0,1567282.6988367524
PPO,2,2020-07-04,2021-07-03,2021-07-04,2021-10-02,2021-10-03,2022-01-01,0.6206900093880676,0.650520884795096,0.9218791194247006,993073.1189401138,1389674.391216818,0.04761651768352615,0.0011730557390107973,0.03610691019199705,0.25387519812755166,1000000.0,1047616.5176835262
PPO,3,2020-09-04,2021-09-03,2021-09-04,2021-12-02,2021-12-03,2022-03-03,-1.549964784236931,0.44800441510575856,-2.3620962059076027,617516.2955711856,1009439.0161515544,-0.280992915217826,-0.0030137655353115315,0.03714788251452746,0.38825794754254533,1000000.0,719007.084782174
PPO,4,2020-11-04,2021-11-03,2021-11-04,2022-02-01,2022-02-02,2022-04-30,0.6073032852689945,0.6458742349819683,1.078019221729083,1000000.0,1284621.1583212737,0.04561971960416589,0.0011136517201691617,0.0350340377793137,0.19625735257811808,1000000.0,1045619.7196041659
PPO,5,2021-01-04,2022-01-03,2022-01-04,2022-04-04,2022-04-05,2022-07-03,-4.649688934224515,0.7396379981274119,-6.311079742009035,340585.7734364828,1000000.0,-0.6439291622405556,-0.010688286603273568,0.04391679351587065,0.6594142265635172,1000000.0,356070.8377594444
A2C,6,2021-03-04,2022-03-03,2022-03-04,2022-06-02,2022-06-03,2022-08-31,0.023058271423767932,0.38731427355247694,0.031085691291424345,659743.22872,1101009.6287200002,-0.05701597127999991,4.555699967959378e-05,0.03774633582871879,0.3171601690767818,1000000.0,942984.0287200001
PPO,7,2021-05-04,2022-05-03,2022-05-04,2022-08-02,2022-08-03,2022-11-01,0.08913552572203728,0.7700167358974656,0.11344171021711612,842847.3839157515,1082843.671809139,-0.01612420352160393,0.00011356253755694679,0.02434056697465663,0.2216352130427272,1000000.0,983875.796478396
DDPG,8,2021-07-04,2022-07-03,2022-07-04,2022-10-02,2022-10-03,2023-01-01,-0.12805921389859212,0.5489363082276434,-0.1600356957502423,833528.3067050001,1242776.0567049999,-0.09595469329499973,-0.000276703451842421,0.041280996999864976,0.32930128303650097,1000000.0,904045.3067050002
DDPG,9,2021-09-04,2022-09-03,2022-09-04,2022-12-02,2022-12-03,2023-03-03,3.331303864650317,0.4111814789749555,6.341554175573358,973216.152498,1470382.932498,0.3889737924979997,0.003947022633488633,0.022636110242686934,0.08516040769547645,1000000.0,1388973.7924979997
A2C,10,2021-11-04,2022-11-03,2022-11-04,2023-02-01,2023-02-02,2023-04-30,0.668419571837874,0.46147993617564614,1.0371642788922242,857391.7797160377,1123044.3622144142,0.04985642893047926,0.0008693334230601546,0.024847554480834613,0.14537557822947644,1000000.0,1049856.4289304793
A2C,11,2022-01-04,2023-01-03,2023-01-04,2023-04-04,2023-04-05,2023-07-03,0.441236797540225,0.5222500120852546,0.6043269720543869,872554.4031074037,1119877.16550712,0.023890833673534617,0.0005490441067730372,0.023772887914189484,0.22084811621971048,1000000.0,1023890.8336735346
PPO,12,2022-03-04,2023-03-03,2023-03-04,2023-06-02,2023-06-03,2023-08-31,-0.2833025172753074,0.2831214488466546,-0.3759183937517729,913914.1610212444,1107170.2703455961,-0.03931681343456994,-0.0002795873343949552,0.018854433680752583,0.17353832170334152,1000000.0,960683.18656543
A2C,13,2022-05-04,2023-05-03,2023-05-04,2023-08-02,2023-08-03,2023-11-01,-0.8010782549106528,0.2969940896248459,-1.0629206214848026,850608.01583,1016902.71583,-0.061890284169999976,-0.0006118755481265936,0.014592664151670246,0.16353058892587338,1000000.0,938109.71583
DDPG,14,2022-07-04,2023-07-03,2023-07-04,2023-10-02,2023-10-03,2024-01-01,2.8866644993353217,0.3328317150489093,5.44963711918502,929186.2801359999,1434946.500136,0.37676906013599964,0.003925030178112785,0.025977246846449326,0.07913251817349158,1000000.0,1376769.0601359997
A2C,15,2022-09-04,2023-09-03,2023-09-04,2023-12-02,2023-12-03,2024-03-02,3.5641114402736123,0.3122557860839691,5.964758817537033,939132.6080461028,1480512.5674265767,0.48051256742657666,0.004732746730074496,0.025369296340811677,0.11618272817675362,1000000.0,1480512.5674265767
