date,window,Exp_2_Account_Value,turbulence,Is_high_Turbulence,Exp_3_Account_Value,fear_greed_norm,fear_greed_mapped,Is_Exp2_higher,Is_Exp3_higher
2021-08-03,1,1000000,0,0,1000000,-1,0,0,0
2021-08-04,1,1034951.968,0.02614007011,0,1016784.758,-0.16,-1,0,0
2021-08-05,1,1044657.708,0.005939703956,0,1041546.747,0,1,0,0
2021-08-06,1,1058505.388,0.008914357178,0,1063202.623,0.04,1,0,0
2021-08-07,1,1101130.278,0.02651906738,0,1138470.32,0.38,1,0,0
2021-08-08,1,1056650.788,0.006141845208,0,1095358.484,0.48,1,0,0
2021-08-09,1,1095381.018,0.009201112553,0,1149766.321,0.3,1,0,0
2021-08-10,1,1149782.618,0.03262050653,0,1148173.857,0.42,1,0,0
2021-08-11,1,1208635.258,0.01953391417,0,1159458.555,0.4,1,0,0
2021-08-12,1,1192252.958,0.005672110379,0,1124916.161,0.4,1,0,0
2021-08-13,1,1269837.058,0.01937413117,0,1218432.083,0.4,1,0,0
2021-08-14,1,1263376.868,0.002090577031,0,1199732.94,0.52,2,0,0
2021-08-15,1,1280006.448,0.001657910079,0,1210626.855,0.42,1,0,0
2021-08-16,1,1285168.418,0.01874050175,0,1169406.959,0.44,1,0,0
2021-08-17,1,1242141.698,0.00463109734,0,1126345.538,0.44,1,0,0
2021-08-18,1,1224677.548,0.001361580841,0,1124702.361,0.46,1,0,0
2021-08-19,1,1333233.468,0.01888402895,0,1189931.331,0.4,1,0,0
2021-08-20,1,1406366.528,0.01660905263,0,1239401.921,0.4,1,0,0
2021-08-21,1,1387233.238,0.002114932292,0,1220198.634,0.56,2,0,0
2021-08-22,1,1387047.778,0.0007823003519,0,1226263.787,0.52,2,0,0
2021-08-23,1,1542772.358,0.1044793031,1,1266435.05,0.58,2,1,0
2021-08-24,1,1457955.318,0.01323674013,0,1210101.875,0.58,2,0,0
2021-08-25,1,1555538.188,0.02246851056,0,1244309.306,0.46,1,0,0
2021-08-26,1,1477984.998,0.01493853643,0,1190312.872,0.5,2,0,0
2021-08-27,1,1528677.398,0.009569648861,0,1251374.301,0.42,1,0,0
2021-08-28,1,1503022.098,0.002482063139,0,1240550.679,0.56,2,0,0
2021-08-29,1,1482930.598,0.001740440998,0,1232497.61,0.44,1,0,0
2021-08-30,1,1422965.198,0.03443001895,0,1213113.292,0.46,1,0,0
2021-08-31,1,1434092.798,0.03468169607,0,1257985.439,0.46,1,0,0
2021-09-01,1,1512913.298,0.05193003488,0,1365435.028,0.42,1,0,0
2021-09-02,1,1495294.598,0.004868408943,0,1357475.057,0.48,1,0,0
2021-09-03,1,1510131.398,0.005384757867,0,1397293.366,0.48,1,0,0
2021-09-04,1,1538568.598,0.006219228303,0,1389249.078,0.44,1,0,0
2021-09-05,1,1560514.698,0.008962314022,0,1419127.15,0.46,1,0,0
2021-09-06,1,1533622.998,0.008827217054,0,1417031.797,0.58,2,0,0
2021-09-07,1,1294379.598,0.09981286981,1,1238928.324,0.58,2,1,0
2021-09-08,1,1282942.898,0.01126189373,0,1245324.918,-0.06,-1,0,0
2021-09-09,1,1302416.198,0.01112450113,0,1234588.266,-0.1,-1,0,0
2021-09-10,1,1240905.298,0.0133029992,0,1169328.115,-0.08,-1,0,0
2021-09-11,1,1252341.998,0.00045481655,0,1185592.741,-0.38,-1,0,0
2021-09-12,1,1286961.198,0.003283797297,0,1225478.952,-0.36,-1,0,0
2021-09-13,1,1233795.998,0.006149069616,0,1185339.323,-0.12,-1,0,0
2021-09-14,1,1280779.198,0.007536381016,0,1238855.012,-0.4,-1,0,0
2021-09-15,1,1333326.198,0.006471788389,0,1291242.312,-0.02,-1,0,0
2021-09-16,1,1311689.198,0.001585289453,0,1275917.144,0.06,1,0,0
2021-09-17,1,1256978.498,0.0144365584,0,1229679.425,-0.04,-1,0,0
2021-09-18,1,1269651.598,0.002159939432,0,1246093.862,0,1,0,0
2021-09-19,1,1263160.498,0.008137768482,0,1214901.343,0.06,1,0,0
2021-09-20,1,1125610.998,0.04645285641,0,1091555.896,0,1,0,0
2021-09-21,1,1064718.298,0.01544759765,0,1022110.412,-0.46,-1,0,0
2021-09-22,1,1171666.898,0.02879741628,0,1122677.845,-0.58,-2,0,0
2021-09-23,1,1185576.398,0.004237764698,0,1150083.047,-0.46,-1,0,0
2021-09-24,1,1097482.898,0.01567648372,0,1075968.768,-0.34,-1,0,0
2021-09-25,1,1080791.498,0.001333063104,0,1071307.599,-0.44,-1,0,0
2021-09-26,1,1063481.898,0.02288669786,0,1101869.372,-0.46,-1,0,0
2021-09-27,1,1037208.398,0.005841557721,0,1062617.532,-0.48,-1,0,0
2021-09-28,1,1029480.898,0.009208515618,0,1027849.325,-0.5,-1,0,0
2021-09-29,1,1136738.598,0.06470791942,1,1055325.763,-0.52,-2,1,0
2021-09-30,1,1197940.398,0.01327792381,0,1111890.198,-0.6,-2,0,0
2021-10-01,1,1303034.398,0.03848207627,0,1222624.705,-0.46,-1,0,0
