window,date_range,phase,sharpe_ann
1,03-Aug-2021 - 31-Oct-2021,1,2.696779066
2,03-Oct-2021 - 31-Dec-2021,1,1.309130346
3,03-Dec-2021 - 02-Mar-2022,1,-2.236029121
4,02-Feb-2022 - 29-Apr-2022,1,0.6060487273
5,05-Apr-2022 - 02-Jul-2022,1,-4.570095931
6,03-Jun-2022 - 30-Aug-2022,1,0.02292984498
7,03-Aug-2022 - 31-Oct-2022,1,0.2238728706
8,03-Oct-2022 - 31-Dec-2022,1,-1.061346171
9,03-Dec-2022 - 02-Mar-2023,1,3.312706717
10,02-Feb-2023 - 29-Apr-2023,1,-0.007681463531
11,05-Apr-2023 - 02-Jul-2023,1,0.2002618546
12,03-Jun-2023 - 30-Aug-2023,1,-0.3164328844
13,03-Aug-2023 - 31-Oct-2023,1,-0.2758465579
14,03-Oct-2023 - 31-Dec-2023,1,4.244740643
15,03-Dec-2023 - 01-Mar-2024,1,3.909230884
16,02-Feb-2024 - 29-Apr-2024,1,2.994828194
17,04-Apr-2024 - 01-Jul-2024,1,0.7057581376
18,03-Jun-2024 - 30-Aug-2024,1,-2.252632791
19,03-Aug-2024 - 31-Oct-2024,1,1.361772124
20,03-Oct-2024 - 31-Dec-2024,1,2.49646262
21,03-Dec-2024 - 02-Mar-2025,1,-1.704080511
22,02-Feb-2025 - 29-Apr-2025,1,-0.007815117878
1,03-Aug-2021 - 31-Oct-2021,2,2.69274574
2,03-Oct-2021 - 31-Dec-2021,2,1.363440953
3,03-Dec-2021 - 02-Mar-2022,2,-2.308019988
4,02-Feb-2022 - 29-Apr-2022,2,0.5615651279
5,05-Apr-2022 - 02-Jul-2022,2,-2.871837261
6,03-Jun-2022 - 30-Aug-2022,2,-0.04723935847
7,03-Aug-2022 - 31-Oct-2022,2,-0.5744547268
8,03-Oct-2022 - 31-Dec-2022,2,-0.3057530689
9,03-Dec-2022 - 02-Mar-2023,2,2.500662263
10,02-Feb-2023 - 29-Apr-2023,2,0.1903914373
11,05-Apr-2023 - 02-Jul-2023,2,0.6820694482
12,03-Jun-2023 - 30-Aug-2023,2,-1.489096306
13,03-Aug-2023 - 31-Oct-2023,2,-0.7966578087
14,03-Oct-2023 - 31-Dec-2023,2,3.730191754
15,03-Dec-2023 - 01-Mar-2024,2,4.023214914
16,02-Feb-2024 - 29-Apr-2024,2,2.475639763
17,04-Apr-2024 - 01-Jul-2024,2,0.05759624375
18,03-Jun-2024 - 30-Aug-2024,2,-0.7716292676
19,03-Aug-2024 - 31-Oct-2024,2,-0.5679504347
20,03-Oct-2024 - 31-Dec-2024,2,2.063796558
21,03-Dec-2024 - 02-Mar-2025,2,0.07189749562
22,02-Feb-2025 - 29-Apr-2025,2,0.008321162226
1,03-Aug-2021 - 31-Oct-2021,3,2.77090168
2,03-Oct-2021 - 31-Dec-2021,3,0.6172674042
3,03-Dec-2021 - 02-Mar-2022,3,-1.789555335
4,02-Feb-2022 - 29-Apr-2022,3,0.6038402248
5,05-Apr-2022 - 02-Jul-2022,3,-4.622236319
6,03-Jun-2022 - 30-Aug-2022,3,0.02292984498
7,03-Aug-2022 - 31-Oct-2022,3,0.08864452999
8,03-Oct-2022 - 31-Dec-2022,3,-0.1273537936
9,03-Dec-2022 - 02-Mar-2023,3,3.31238824
10,02-Feb-2023 - 29-Apr-2023,3,0.664607179
11,05-Apr-2023 - 02-Jul-2023,3,0.4387779379
12,03-Jun-2023 - 30-Aug-2023,3,-0.2817242725
13,03-Aug-2023 - 31-Oct-2023,3,-0.7966578087
14,03-Oct-2023 - 31-Dec-2023,3,2.870395726
15,03-Dec-2023 - 01-Mar-2024,3,3.54378636
16,02-Feb-2024 - 29-Apr-2024,3,2.449263778
17,04-Apr-2024 - 01-Jul-2024,3,0.101488438
18,03-Jun-2024 - 30-Aug-2024,3,-0.7716292676
19,03-Aug-2024 - 31-Oct-2024,3,1.365845876
20,03-Oct-2024 - 31-Dec-2024,3,1.978804469
21,03-Dec-2024 - 02-Mar-2025,3,-0.03220830253
22,02-Feb-2025 - 29-Apr-2025,3,-0.1714906988
