agent,Window,Sharpe_ann,Sortino_ann,Volatility_ann,Max_Drawdown,Total_Return_ann,Turbulence_ann,FG_norm_Std
A2C,1,2.7,4.154607814,0.694463248,0.3717551463,4.105075989,6.189131394,0.3819874435
A2C,2,1.31,2.114617627,0.7392432676,0.3815671715,1.009330179,4.962247162,0.4519046114
DDPG,3,-2.24,-3.004010864,0.8171453073,0.4404499841,-0.7708893258,5.800167324,0.2206064731
PPO,4,0.61,1.070009861,0.6650416679,0.2219234744,0.2076126257,4.618331536,0.2483846772
A2C,5,-4.57,-6.280965842,0.9370564253,0.7076331694,-0.9914082619,8.280211165,0.1687020086
DDPG,6,0.02,0.03073641386,0.7170336305,0.400783416,-0.2139699751,6.34870414,0.2256670964
A2C,7,0.22,0.2973835834,0.7519997341,0.3716720265,-0.1091597992,4.87612542,0.143535699
PPO,8,-1.06,-1.222901178,0.5121474187,0.2547931929,-0.4920355025,6.250402308,0.0991761318
PPO,9,3.31,6.27166635,0.4300827689,0.3381136229,2.790898928,5.513919514,0.2856200736
A2C,10,-0.01,-0.01108561612,0.4726974071,0.2062083323,-0.1075839016,6.609010538,0.19312592
PPO,11,0.2,0.274134793,0.3834250994,0.1937832877,0.003987469736,6.007562068,0.1798941353
PPO,12,-0.32,-0.4278632114,0.3666646151,0.1773951777,-0.1668944189,5.71444579,0.1800919071
DDPG,13,-0.28,-0.3521813579,0.3048863429,0.1677585936,-0.1221219415,6.630138359,0.1976775265
PPO,14,4.24,7.388807733,0.4315943954,0.3910945659,4.681914537,11.71517512,0.2273240083
A2C,15,3.91,5.978843563,0.4931974256,0.3649436447,5.074807768,6.349440929,0.2135326784
A2C,16,2.99,4.612787059,0.6023028276,0.417443045,4.062571599,6.617733301,0.20388994
A2C,17,0.71,1.498924055,0.5575253319,0.2512642181,0.279811039,5.058103243,0.256854748
DDPG,18,-2.25,-3.216230831,0.6369642327,0.3938081508,-0.805665583,7.036711748,0.387092169
PPO,19,1.36,2.258307062,0.5098414228,0.2558161526,0.7628761913,5.502912385,0.3504866601
PPO,20,2.5,4.664438836,0.653574773,0.4128005545,3.143385802,8.712882135,0.2819976005
DDPG,21,-1.7,-2.579270573,0.7107520699,0.4456624057,-0.7687469325,5.480544197,0.3637037935
PPO,22,-0.01,-0.01147915662,0.5394174052,0.2413293192,-0.1370952389,5.981534678,0.2745519545
