agent,Window,Sharpe_ann,Sortino_ann,Volatility_ann,Max_Drawdown,Total_Return_ann,Turbulence_ann,FG_norm_Std,FG_norm_IQR
A2C,1,2.69,3.962150081,0.8695878035,0.3899966271,6.105015234,6.189131394,0.3819874435,0.495
A2C,2,1.36,2.192247853,0.7388388606,0.3815809309,1.090886652,4.962247162,0.4519046114,0.88
DDPG,3,-2.31,-3.175630469,0.8247022134,0.4125927419,-0.7806506169,5.800167324,0.2206064731,0.175
PPO,4,0.56,0.9498219553,0.6711358131,0.2302813013,0.170533693,4.618331536,0.2483846772,0.44
A2C,5,-2.87,-3.534371745,0.8751923359,0.5569427896,-0.9459313886,8.280211165,0.1687020086,0.24
DDPG,6,-0.05,-0.07030165712,1.076381223,0.4980822352,-0.4642154,6.34870414,0.2256670964,0.36
A2C,7,-0.57,-0.7284569687,0.5162168539,0.2471674712,-0.3495315472,4.87612542,0.143535699,0.155
PPO,8,-0.31,-0.3812306881,0.7229002282,0.3113255433,-0.3838172462,6.250402308,0.0991761318,0.12
PPO,9,2.5,4.120670914,0.4244360713,0.3164467355,1.643137908,5.513919514,0.2856200736,0.52
A2C,10,0.19,0.2765518423,0.4757412449,0.2062107341,-0.02080670121,6.609010538,0.19312592,0.22
PPO,11,0.68,0.9823327475,0.3944137858,0.192774326,0.2117245187,6.007562068,0.1798941353,0.22
PPO,12,-1.49,-1.83809116,0.3727308589,0.1940887835,-0.4646443304,5.71444579,0.1800919071,0.14
DDPG,13,-0.8,-1.051110392,0.2772245215,0.1635305889,-0.2282563392,6.630138359,0.1976775265,0.195
PPO,14,3.73,6.166388534,0.4155316113,0.3638349956,3.31768938,11.71517512,0.2273240083,0.18
A2C,15,4.02,6.059558859,0.4779827764,0.3595913791,5.087212645,6.349440929,0.2135326784,0.2
A2C,16,2.48,3.449753306,0.6463055043,0.4366277398,3.016976433,6.617733301,0.20388994,0.14
A2C,17,0.06,0.09000267425,0.4560980181,0.2410733126,-0.07341772021,5.058103243,0.256854748,0.2
DDPG,18,-0.77,-1.19672904,0.6032994422,0.3472496679,-0.4756524073,7.036711748,0.387092169,0.78
PPO,19,-0.57,-0.8187028128,0.648782241,0.2334869302,-0.4379449946,5.502912385,0.3504866601,0.515
PPO,20,2.06,3.783980278,0.5268777564,0.2629880431,1.590225391,8.712882135,0.2819976005,0.175
DDPG,21,0.07,0.112853615,0.443957363,0.1985203819,-0.06290592023,5.480544197,0.3637037935,0.5
PPO,22,0.01,0.01219895488,0.5475504672,0.2421747533,-0.1333274653,5.981534678,0.2745519545,0.37
