agent,Window,Sharpe_ann,Sortino_ann,Volatility_ann,Max_Drawdown,Total_Return_ann,FG_raw_mean,FG_norm_mean,FG_norm_Std,FG_norm_IQR
PPO,1,2.77,4.241041155,0.763718826,0.3767583277,5.186298572,60.96666667,0.2195555556,0.3819874435,0.495
PPO,2,0.62,0.9116360181,0.685939269,0.2853915095,0.2076239048,51.91111111,0.03844444444,0.4519046114,0.88
PPO,3,-1.79,-2.746691384,0.7108671006,0.3882579475,-0.7375942117,27.91111111,-0.4415555556,0.2206064731,0.175
PPO,4,0.6,1.065628196,0.6654254625,0.2215603849,0.2058151573,33.16091954,-0.3365517241,0.2483846772,0.44
PPO,5,-4.62,-6.240168734,0.8345290807,0.6594142266,-0.985519106,16.8988764,-0.6617977528,0.1687020086,0.24
A2C,6,0.02,0.03073641386,0.7170336305,0.400783416,-0.2139699751,22.86516854,-0.5424719101,0.2256670964,0.36
PPO,7,0.09,0.1121812468,0.4624060507,0.221635213,-0.06379943027,26.26666667,-0.4744444444,0.143535699,0.155
DDPG,8,-0.13,-0.1582575214,0.7842292785,0.329301283,-0.3357571234,25.7,-0.4857777778,0.0991761318,0.12
DDPG,9,3.31,6.271092463,0.4300993085,0.338120614,2.790562424,41.07777778,-0.1782222222,0.2856200736,0.52
A2C,10,0.66,1.02524285,0.4719471981,0.2365468288,0.2264461423,55.97701149,0.1197701149,0.19312592,0.22
A2C,11,0.44,0.5975367814,0.4515938112,0.2208481162,0.1016699578,54.57303371,0.09168539326,0.1798941353,0.22
PPO,12,-0.28,-0.3716945916,0.3581613822,0.1745495833,-0.1516809768,50.8988764,0.01820224719,0.1800919071,0.14
A2C,13,-0.8,-1.051110392,0.2772245215,0.1635305889,-0.2282563392,47.48888889,-0.05,0.1976775265,0.195
DDPG,14,2.87,5.389085596,0.4935618543,0.3524592868,2.657285767,64.56666667,0.2915555556,0.2273240083,0.18
A2C,15,3.54,5.89848372,0.4820433474,0.3656706274,3.91038712,67.16666667,0.3435555556,0.2135326784,0.2
DDPG,16,2.45,3.423981132,0.6468678548,0.4366591988,2.953374678,73.79545455,0.4761363636,0.20388994,0.14
PPO,17,0.1,0.1563380816,0.4697784176,0.2489231609,-0.05924037172,66.19101124,0.3240449438,0.256854748,0.2
A2C,18,-0.77,-1.19672904,0.6032994422,0.3472496679,-0.4756524073,49.1011236,-0.01775280899,0.387092169,0.78
PPO,19,1.37,2.264100977,0.5093381908,0.2558633861,0.7657562314,45.08888889,-0.098,0.3504866601,0.515
PPO,20,1.98,3.566274464,0.5252655183,0.2629519582,1.471304081,72.17777778,0.4437777778,0.2819976005,0.175
A2C,21,-0.03,-0.05023108112,0.4654890697,0.2132148734,-0.1144157575,63.12222222,0.2626666667,0.3637037935,0.5
A2C,22,-0.17,-0.220769571,0.539819755,0.2429089117,-0.2116423006,38.24137931,-0.2349425287,0.2745519545,0.37
