window,fear_greed_norm,sharpe_ratio,sortino_ratio
W1,-0.015,2.77090168,4.241041155
W2,-0.42,0.6172674042,0.9116360181
W3,-0.58,-1.789555335,-2.746691384
W4,-0.52,0.6038402248,1.065628196
W5,-0.78,-4.622236319,-6.240168734
W6,-0.74,0.02292984498,0.03073641386
W7,-0.56,0.08864452999,0.1121812468
W8,-0.54,-0.1273537936,-0.1582575214
W9,-0.46,3.31238824,6.271092463
W10,0.02,0.664607179,1.02524285
W11,0,0.4387779379,0.5975367814
W12,-0.02,-0.2817242725,-0.3716945916
W13,-0.18,-0.7966578087,-1.051110392
W14,0.26,2.870395726,5.389085596
W15,0.26,3.54378636,5.89848372
W16,0.44,2.449263778,3.423981132
W17,0.28,0.101488438,0.1563380816
W18,-0.4,-0.7716292676,-1.19672904
W19,-0.4,1.365845876,2.264100977
W20,0.425,1.978804469,3.566274464
W21,0,-0.03220830253,-0.05023108112
W22,-0.43,-0.1714906988,-0.220769571
