agent,window,train_start,train_end,val_start,val_end,trade_start,last trade day,trade_end,sharpe (ann - trade),sharpe (best - val),sortino,min_account_value,max_account_value,total_return (raw cumulative return),mean_return,volatility (std),max_drawdown,initial_acc_val,final_acc_val
A2C,1,2020-05-04,2021-05-03,2021-05-04,2021-08-02,2021-08-03,2021-10-31,2021-11-01,2.7120230084282,4.38054479017857,4.2012888006686,986155.804670828,1569699.77358613,0.494775213143063,0.00518864877435363,0.0365516794430157,0.203448348477744,1000000,1494775.21
DDPG,2,2020-07-04,2021-07-03,2021-07-04,2021-10-02,2021-10-03,2021-12-31,2022-01-01,1.31641648089897,-3.27432381725777,2.13837737560502,938599.2379,1517706.0379,0.1877498379,0.00268120429566923,0.0389119529324405,0.217404551184727,1000000,1187749.84
A2C,3,2020-09-04,2021-09-03,2021-09-04,2021-12-02,2021-12-03,2022-03-02,2022-03-03,-1.57894145425851,-0.694474388997975,-2.3830018151336,582723.926218472,1041415.26163088,-0.304650804613055,-0.0032860775976833,0.0397610843542567,0.440449984086162,1000000,695349.2
A2C,4,2020-11-04,2021-11-03,2021-11-04,2022-02-01,2022-02-02,2022-04-29,2022-04-30,0.609524479913458,2.48249000414529,1.08245183617412,1000000,1285220.62688661,0.0459910275931543,0.00111708015644386,0.035013829839458,0.196301299571125,1000000,1045991.03
A2C,5,2021-01-04,2022-01-03,2022-01-04,2022-04-04,2022-04-05,2022-07-02,2022-07-03,-4.59720415900425,9.07745556936717,-6.35234045381948,292366.830573,1000000,-0.686487129427,-0.0118660323872533,0.04931263059151,0.707633169427,1000000,313512.87
DDPG,6,2021-03-04,2022-03-03,2022-03-04,2022-06-02,2022-06-03,2022-08-30,2022-08-31,0.0230582714237679,0.0458039040643869,0.0310856912914243,659743.22872,1101009.62872,-0.0570159712799999,4.55569996795938E-05,0.0377463358287188,0.317160169076782,1000000,942984.03
A2C,7,2021-05-04,2022-05-03,2022-05-04,2022-08-02,2022-08-03,2022-10-31,2022-11-01,0.225113034596711,5.00730271786952,0.300724971983886,769950.374808,1225395.664808,-0.028099355192,0.000466421749345575,0.0395844470989186,0.37167202649714,1000000,971900.64
DDPG,8,2021-07-04,2022-07-03,2022-07-04,2022-10-02,2022-10-03,2022-12-31,2023-01-01,-1.0672434729161,0.701332655138419,-1.23664164047254,807369.242319,1083416.3546,-0.153814147681,-0.00150595392174109,0.0269584307677681,0.254793192948354,1000000,846185.85
PPO,9,2021-09-04,2022-09-03,2022-09-04,2022-12-02,2022-12-03,2023-03-02,2023-03-03,3.33162426950155,-0.185375466102016,6.34213451133376,973246.555538,1470413.335538,0.389004195538,0.00394725033041958,0.0226352390232629,0.0851586468740673,1000000,1389004.2
A2C,10,2021-11-04,2022-11-03,2022-11-04,2023-02-01,2023-02-02,2023-04-29,2023-04-30,-0.00772547180863983,7.72086832054035,-0.0112145186283369,834462.879885614,1051236.63277792,-0.0267656381373047,-1.00636408666783E-05,0.0248872293574484,0.163931310192495,1000000,973234.36
