date range,window,Turb-correlations,Mean,FG-FirstQ,FG-Median,FG-ThirdQ,FG-Volatility,FG-IQR
03-Aug-2021 - 31-Oct-2021,1,0.1198681709,61.37078652,49,71,74,18.07,25
03-Oct-2021 - 31-Dec-2021,2,0.04609597122,54.12582781,32,54,73,20.99,41
03-Dec-2021 - 02-Mar-2022,3,0.1868324676,46.6509434,26,45,71.25,22.19,45.25
02-Feb-2022 - 29-Apr-2022,4,0.4681984896,43.55185185,25,37,70,21.21,45
05-Apr-2022 - 02-Jul-2022,5,-0.4195555962,37.72754491,21,28,53,22.61,32
03-Jun-2022 - 30-Aug-2022,6,0.1256732379,36.42239186,21,28,50,21.32,29
03-Aug-2022 - 31-Oct-2022,7,0.1653181106,34.6989011,21,27,47,20.33,26
03-Oct-2022 - 31-Dec-2022,8,-0.3318108354,33.74806202,22,27,42,19.31,20
03-Dec-2022 - 02-Mar-2023,9,0.3971269746,35.25649913,22,28,49,19.16,27
02-Feb-2023 - 29-Apr-2023,10,0.3514226974,37.29291339,23,29,52,19.53,29
05-Apr-2023 - 02-Jul-2023,11,-0.1447135755,38.74105866,23.5,31,53,19.25,29.5
03-Jun-2023 - 30-Aug-2023,12,0.05592544171,39.67282322,24,34,53,18.87,29
03-Aug-2023 - 31-Oct-2023,13,0.1519289687,40.38536585,24.75,40,53,18.48,28.25
03-Oct-2023 - 31-Dec-2023,14,0.3125742357,42.43019296,25,44,57,19.36,32
03-Dec-2023 - 01-Mar-2024,15,-0.007556507821,43.99150743,26,47,60,19.77,34
02-Feb-2024 - 29-Apr-2024,16,0.03088279981,45.87112887,27,49,64,20.65,37
04-Apr-2024 - 01-Jul-2024,17,0.2993510332,47.0112782,27,50,66,20.74,39
03-Jun-2024 - 30-Aug-2024,18,0.2462511612,46.84163701,27,49.5,66,20.59,39
03-Aug-2024 - 31-Oct-2024,19,0.3137984398,47.02362869,27,50,66,20.42,39
03-Oct-2024 - 31-Dec-2024,20,0.5528872775,48.54654896,28,50,69,21.06,41
03-Dec-2024 - 02-Mar-2025,21,0.08793176942,48.99923489,28,50,70,21,42
02-Feb-2025 - 29-Apr-2025,22,0.1401671217,48.47399267,28,50,69,20.86,41
