pair,value,window
fear_greed ~ reward,-0.07222515534425197,1
fear_greed_norm ~ reward,-0.07242888914280013,1
fear_greed_mapped ~ reward,-0.11708123474801839,1
fear_greed ~ reward,0.02874050157213872,2
fear_greed_norm ~ reward,0.028779556774319436,2
fear_greed_mapped ~ reward,0.01657768862078141,2
fear_greed ~ reward,-0.012792088927185842,3
fear_greed_norm ~ reward,-0.012708031125978677,3
fear_greed_mapped ~ reward,-0.07924039075620769,3
fear_greed ~ reward,-0.13239377871864022,4
fear_greed_norm ~ reward,-0.13274763385464258,4
fear_greed_mapped ~ reward,-0.22616004676664456,4
fear_greed ~ reward,-0.15712840898621022,5
fear_greed_norm ~ reward,-0.15722721900693443,5
fear_greed_mapped ~ reward,-0.17757342035905427,5
fear_greed ~ reward,0.018723487012165557,6
fear_greed_norm ~ reward,0.018798089051965127,6
fear_greed_mapped ~ reward,-0.015626084260968554,6
fear_greed ~ reward,-0.13755700682338834,7
fear_greed_norm ~ reward,-0.1383806993481005,7
fear_greed_mapped ~ reward,-0.1636196013652788,7
fear_greed ~ reward,-0.15227081467662468,8
fear_greed_norm ~ reward,-0.15392943424811534,8
fear_greed_mapped ~ reward,-0.13633284870047604,8
fear_greed ~ reward,-0.027361716781797645,9
fear_greed_norm ~ reward,-0.027435337185871777,9
fear_greed_mapped ~ reward,-0.0009834769989397545,9
fear_greed ~ reward,-0.08455778573079939,10
fear_greed_norm ~ reward,-0.0851484411826311,10
fear_greed_mapped ~ reward,-0.029195076038256274,10
fear_greed ~ reward,-0.032893543837742956,11
fear_greed_norm ~ reward,-0.03305009586325444,11
fear_greed_mapped ~ reward,-0.10014974497580405,11
fear_greed ~ reward,-0.04670310320284938,12
fear_greed_norm ~ reward,-0.04699744887301322,12
fear_greed_mapped ~ reward,-0.11479487820966891,12
fear_greed ~ reward,0.023221184598158123,13
fear_greed_norm ~ reward,0.023321973096662237,13
fear_greed_mapped ~ reward,-0.06121873573158824,13
fear_greed ~ reward,0.04569244204248797,14
fear_greed_norm ~ reward,0.04579420280050949,14
fear_greed_mapped ~ reward,0.035017759340969186,14
fear_greed ~ reward,0.17323946064239937,15
fear_greed_norm ~ reward,0.17416446896041166,15
fear_greed_mapped ~ reward,0.03417669180100103,15
fear_greed ~ reward,-0.042314178283092536,16
fear_greed_norm ~ reward,-0.04284520083250692,16
fear_greed_mapped ~ reward,-0.086398565718271,16
fear_greed ~ reward,-0.061683681529381404,17
fear_greed_norm ~ reward,-0.061961211077178495,17
fear_greed_mapped ~ reward,-0.09094526025232952,17
fear_greed ~ reward,-0.14981324784163974,18
fear_greed_norm ~ reward,-0.15000447689087357,18
fear_greed_mapped ~ reward,-0.13798181808145238,18
fear_greed ~ reward,-0.08156943234211186,19
fear_greed_norm ~ reward,-0.08174860417138044,19
fear_greed_mapped ~ reward,-0.12284938100916462,19
fear_greed ~ reward,-0.09317093321645512,20
fear_greed_norm ~ reward,-0.09363011950566562,20
fear_greed_mapped ~ reward,-0.11593648356927545,20
fear_greed ~ reward,-0.05834716215839406,21
fear_greed_norm ~ reward,-0.05840699046328084,21
fear_greed_mapped ~ reward,-0.05624850057538576,21
fear_greed ~ reward,-0.12772636596608705,22
fear_greed_norm ~ reward,-0.12798265847137452,22
fear_greed_mapped ~ reward,-0.09673914191521071,22
