pair,value,window
fear_greed ~ reward,-0.07640373296159474,1
fear_greed_norm ~ reward,-0.0766227367481574,1
fear_greed_mapped ~ reward,-0.1330477223588777,1
fear_greed ~ reward,0.0015720154893553338,2
fear_greed_norm ~ reward,0.001567725161257072,2
fear_greed_mapped ~ reward,0.009395271566918797,2
fear_greed ~ reward,-0.026181083176068428,3
fear_greed_norm ~ reward,-0.02613682363396991,3
fear_greed_mapped ~ reward,-0.09888298586976717,3
fear_greed ~ reward,-0.1624206058262865,4
fear_greed_norm ~ reward,-0.1628452545233747,4
fear_greed_mapped ~ reward,-0.27580038644868005,4
fear_greed ~ reward,-0.147987540155157,5
fear_greed_norm ~ reward,-0.1480368578741527,5
fear_greed_mapped ~ reward,-0.14945279487582147,5
fear_greed ~ reward,0.03512535336839847,6
fear_greed_norm ~ reward,0.03521887964203427,6
fear_greed_mapped ~ reward,0.03772928927482326,6
fear_greed ~ reward,-0.17744749897268525,7
fear_greed_norm ~ reward,-0.17846849457696784,7
fear_greed_mapped ~ reward,-0.1777677570722142,7
fear_greed ~ reward,-0.15369040172241863,8
fear_greed_norm ~ reward,-0.15546118942624718,8
fear_greed_mapped ~ reward,-0.12384620822475645,8
fear_greed ~ reward,-0.0559853027542539,9
fear_greed_norm ~ reward,-0.056233819757917324,9
fear_greed_mapped ~ reward,-0.06421922283334999,9
fear_greed ~ reward,-0.09114173069698887,10
fear_greed_norm ~ reward,-0.09180974796563753,10
fear_greed_mapped ~ reward,-0.0433047604352189,10
fear_greed ~ reward,-0.009415038342633015,11
fear_greed_norm ~ reward,-0.009501870567296256,11
fear_greed_mapped ~ reward,-0.04561457012100774,11
fear_greed ~ reward,-0.07166831818824408,12
fear_greed_norm ~ reward,-0.07215307338454127,12
fear_greed_mapped ~ reward,-0.1490775086093549,12
fear_greed ~ reward,-0.06219993761527711,13
fear_greed_norm ~ reward,-0.06248334224457684,13
fear_greed_mapped ~ reward,-0.12519987322110868,13
fear_greed ~ reward,0.006450328483129357,14
fear_greed_norm ~ reward,0.0063549516549541935,14
fear_greed_mapped ~ reward,0.07800346248141238,14
fear_greed ~ reward,0.17891087138274034,15
fear_greed_norm ~ reward,0.17989295141391648,15
fear_greed_mapped ~ reward,0.021067604006469322,15
fear_greed ~ reward,-0.10268195403063578,16
fear_greed_norm ~ reward,-0.10362469052347527,16
fear_greed_mapped ~ reward,-0.19194628423286358,16
fear_greed ~ reward,-0.04695270792134236,17
fear_greed_norm ~ reward,-0.047162206792855196,17
fear_greed_mapped ~ reward,-0.08113921033206875,17
fear_greed ~ reward,-0.14981324784163985,18
fear_greed_norm ~ reward,-0.15000447689087357,18
fear_greed_mapped ~ reward,-0.1379818180814523,18
fear_greed ~ reward,-0.07820220628043413,19
fear_greed_norm ~ reward,-0.07837348232023703,19
fear_greed_mapped ~ reward,-0.11844675947400611,19
fear_greed ~ reward,-0.07243832100703224,20
fear_greed_norm ~ reward,-0.07280443515043605,20
fear_greed_mapped ~ reward,-0.0877272415302005,20
fear_greed ~ reward,-0.06866057335270948,21
fear_greed_norm ~ reward,-0.06880052254497711,21
fear_greed_mapped ~ reward,-0.08045959767272104,21
fear_greed ~ reward,-0.0851377827517568,22
fear_greed_norm ~ reward,-0.0853216197936225,22
fear_greed_mapped ~ reward,-0.16996120039869303,22
