,,,account_value,account_value,account_value,account_value,account_value,account_value,account_value,daily_return,daily_return,daily_return,daily_return,daily_return,daily_return,daily_return,,,
window,date range,no_of_days,mean,std,min,25.00%,50.00%,75.00%,max,mean,std,min,25.00%,50.00%,75.00%,max,initial_value,final_account_value,downside_deviation
1,03-Aug-2021 - 31-Oct-2021,90,1217585.95,155915.9508,986155.8047,1108002.213,1173535.599,1313768.615,1569699.774,0.005130997121,0.03634986774,-0.114127633,-0.01833696434,0.002708745227,0.02803953946,0.09960587037,1000000,1494775.213,0.02359490155
2,03-Oct-2021 - 31-Dec-2021,90,1257565.749,151896.4237,938599.2379,1129119.338,1264027.538,1370026.838,1517706.038,0.002651413137,0.03869376109,-0.08642751865,-0.01829081837,0.004828250698,0.02217373353,0.09625235842,1000000,1187749.838,0.02395476904
3,03-Dec-2021 - 02-Mar-2022,90,779987.7564,132299.3844,582723.9262,661878.2955,748198.5807,906577.0749,1041415.262,-0.005005919735,0.04277134021,-0.1580718699,-0.03000833373,-0.001328740604,0.01857845409,0.1101658894,1000000,695349.1954,0.03183675645
4,02-Feb-2022 - 29-Apr-2022,87,1123296.961,72784.45957,1000000,1067790.654,1115187.538,1173574.688,1285220.627,0.001104240155,0.03480987185,-0.07777589869,-0.01935038313,0.0002042032189,0.01700456174,0.1446286255,1000000,1045991.028,0.01971615337
5,05-Apr-2022 - 02-Jul-2022,89,627888.776,216308.9167,292366.8306,488383.9706,586935.4806,857441.0792,1000000,-0.01173270618,0.04904777498,-0.1567462693,-0.03617213038,-0.007083355967,0.01728265528,0.1339365342,1000000,313512.8706,0.03568767009
6,03-Jun-2022 - 30-Aug-2022,89,891903.7003,121404.2802,659743.2287,782949.6287,899460.0287,996217.2287,1101009.629,0.00004504512328,0.03753125555,-0.1247763822,-0.0152854246,-0.0007055770724,0.01662388152,0.09185209846,1000000,942984.0287,0.02799890305
7,03-Aug-2022 - 31-Oct-2022,90,935813.4447,122366.3975,769950.3748,820382.5373,938805.1548,1009563.482,1225395.665,0.0004612392855,0.03936146506,-0.128468655,-0.01740893475,-0.00154027156,0.02433648599,0.08845458419,1000000,971900.6448,0.02963164299
8,03-Oct-2022 - 31-Dec-2022,90,921149.7812,79797.24418,807369.2423,854330.5523,876052.7273,988810.4796,1083416.355,-0.0014892211,0.02680702108,-0.1387393763,-0.01108009357,-0.001681226098,0.007263189093,0.1050760758,1000000,846185.8523,0.02326559962
9,03-Dec-2022 - 02-Mar-2023,90,1195811.707,181467.3376,973246.5555,1002124.461,1244137.831,1368107.063,1470413.336,0.003903391993,0.022511561,-0.05085047376,-0.00731152084,-0.0002159983481,0.01248890025,0.09561492838,1000000,1389004.196,0.01189065157
10,02-Feb-2023 - 29-Apr-2023,87,953022.459,47525.89429,834462.8799,928488.8731,952070.955,993944.2671,1051236.633,-0.000009947966834,0.0247421131,-0.06703094754,-0.01152100916,0.0006445238165,0.0105779602,0.07541463132,1000000,973234.3619,0.01714434611
