pair,value,window
daily_return ~ fear_greed_mapped,-0.11095585233619593,1
daily_return ~ fear_greed_mapped,-0.05881188864356922,2
daily_return ~ fear_greed_mapped,-0.08024814564310737,3
daily_return ~ fear_greed_mapped,-0.26037835758223743,4
daily_return ~ fear_greed_mapped,-0.15354705477390707,5
daily_return ~ fear_greed_mapped,-0.007787922190475617,6
daily_return ~ fear_greed_mapped,-0.1190451791029548,7
daily_return ~ fear_greed_mapped,-0.06993198281748941,8
daily_return ~ fear_greed_mapped,-0.02698041832552057,9
daily_return ~ fear_greed_mapped,-0.023170605241092847,10
daily_return ~ fear_greed_mapped,-0.12895010339399998,11
daily_return ~ fear_greed_mapped,-0.08913844569776797,12
daily_return ~ fear_greed_mapped,-0.009656439285277521,13
daily_return ~ fear_greed_mapped,0.033544315738609116,14
daily_return ~ fear_greed_mapped,0.005697263764133276,15
daily_return ~ fear_greed_mapped,-0.11137178291236899,16
daily_return ~ fear_greed_mapped,-0.0713536918693317,17
daily_return ~ fear_greed_mapped,-0.18189321800568484,18
daily_return ~ fear_greed_mapped,-0.0973942662183944,19
daily_return ~ fear_greed_mapped,-0.1855742272390866,20
daily_return ~ fear_greed_mapped,-0.046947373779567717,21
daily_return ~ fear_greed_mapped,-0.12313115004281765,22
