pair,value,window
daily_return ~ fear_greed,-0.08850221145914601,1
daily_return ~ fear_greed_norm,-0.0887549493189378,1
daily_return ~ fear_greed,0.004135666967573469,2
daily_return ~ fear_greed_norm,0.0041243685636159905,2
daily_return ~ fear_greed,0.005250559014705098,3
daily_return ~ fear_greed_norm,0.004115407137336705,3
daily_return ~ fear_greed,-0.16611450912282424,4
daily_return ~ fear_greed_norm,-0.16656518643179605,4
daily_return ~ fear_greed,-0.06290660650522409,5
daily_return ~ fear_greed_norm,-0.06275528942098349,5
daily_return ~ fear_greed,0.029559868545721856,6
daily_return ~ fear_greed_norm,0.029620257489890913,6
daily_return ~ fear_greed,-0.17100004560014154,7
daily_return ~ fear_greed_norm,-0.1720031005204944,7
daily_return ~ fear_greed,-0.14779083707261076,8
daily_return ~ fear_greed_norm,-0.14953494980048634,8
daily_return ~ fear_greed,-0.06199397548645423,9
daily_return ~ fear_greed_norm,-0.06227224699119919,9
daily_return ~ fear_greed,-0.09315760869380009,10
daily_return ~ fear_greed_norm,-0.09385337124021378,10
daily_return ~ fear_greed,-0.007715789823269738,11
daily_return ~ fear_greed_norm,-0.007804266855187346,11
daily_return ~ fear_greed,-0.07324189577398267,12
daily_return ~ fear_greed_norm,-0.07374905375891253,12
daily_return ~ fear_greed,-0.061288193173447705,13
daily_return ~ fear_greed_norm,-0.06157817777499284,13
daily_return ~ fear_greed,0.004084636603832068,14
daily_return ~ fear_greed_norm,0.003959166656205229,14
daily_return ~ fear_greed,0.16252927596127226,15
daily_return ~ fear_greed_norm,0.16341461137423893,15
daily_return ~ fear_greed,-0.10482591585614764,16
daily_return ~ fear_greed_norm,-0.10582836724744879,16
daily_return ~ fear_greed,-0.047703034758369234,17
daily_return ~ fear_greed_norm,-0.04792643954477424,17
daily_return ~ fear_greed,-0.15465175509966048,18
daily_return ~ fear_greed_norm,-0.1548605923508294,18
daily_return ~ fear_greed,-0.08836219235104967,19
daily_return ~ fear_greed_norm,-0.08855531009937082,19
daily_return ~ fear_greed,-0.07207220273342237,20
daily_return ~ fear_greed_norm,-0.07245019597899327,20
daily_return ~ fear_greed,-0.07039011138417677,21
daily_return ~ fear_greed_norm,-0.07054107691758296,21
daily_return ~ fear_greed,-0.0846034364618112,22
daily_return ~ fear_greed_norm,-0.0847978659063932,22
