account_value,account_value,account_value,account_value,account_value,account_value,account_value,account_value,daily_return,daily_return,daily_return,daily_return,daily_return,daily_return,daily_return,daily_return,fear_greed,fear_greed,fear_greed,fear_greed,fear_greed,fear_greed,fear_greed,fear_greed,fear_greed_norm,fear_greed_norm,fear_greed_norm,fear_greed_norm,fear_greed_norm,fear_greed_norm,fear_greed_norm,fear_greed_norm
count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
90.0,1268174.8782342747,151349.050695688,1000000.0,1161925.945109875,1239165.12220433,1370498.126037,1604514.01824548,90.0,0.0057977802142777785,0.039974870365238,-0.125687704,-0.01566925261,0.0050668168185000004,0.0327574386525,0.09959122548,90.0,60.96666666666667,19.135501449670375,-1.0,49.25,71.0,74.0,84.0,90.0,0.21955555555555556,0.3819874434994702,-1.0,-0.015,0.42,0.48,0.68
90.0,1184639.068456265,98377.47995914622,993073.118940114,1117385.193893125,1173959.389380385,1249345.9269175974,1389674.39121682,90.0,0.0011600217867899993,0.035903702286259574,-0.1044808678,-0.0165140435475,-0.00101192985795,0.0282340274325,0.08486472418,90.0,51.91111111111111,22.62128084495145,-1.0,29.0,53.0,73.0,84.0,90.0,0.038444444444444455,0.4519046113703397,-1.0,-0.42,0.06,0.46,0.68
90.0,787994.6813271006,115626.58275384658,617516.295571186,691470.9675762709,758542.6806240559,894688.2799397075,1009439.01615155,90.0,-0.00348530414408589,0.03720848462105609,-0.1232428746,-0.026627311255,-0.003829227331,0.0194932842725,0.1084046516,90.0,27.91111111111111,11.059232194374465,-1.0,21.0,25.0,29.75,54.0,90.0,-0.4415555555555556,0.2206064731145144,-1.0,-0.58,-0.5,-0.405,0.08
87.0,1122955.1297849598,72751.6767081088,1000000.0,1067467.334659855,1114778.35593912,1173126.2068258799,1284621.15832127,87.0,0.0011008511261206902,0.034829960578600994,-0.07782658512,-0.019366683635,0.0001968998625,0.01700752727,0.1446973123,87.0,33.160919540229884,12.450715458305337,-1.0,24.0,28.0,46.0,60.0,87.0,-0.336551724137931,0.2483846772143961,-1.0,-0.52,-0.44,-0.08,0.2
89.0,653588.0781536077,196475.92300975023,340585.773436483,546791.827289749,618402.387756911,861432.787912489,1000000.0,89.0,-0.010568193495250561,0.04368124849173812,-0.1552851928,-0.03236330149,-0.008705523271,0.01531615526,0.1105944308,89.0,16.89887640449438,8.458514999449621,-1.0,11.0,14.0,23.0,48.0,89.0,-0.6617977528089888,0.16870200864887613,-1.0,-0.78,-0.72,-0.54,-0.04
89.0,891903.7003074158,121404.28018821732,659743.22872,782949.62872,899460.02872,996217.22872,1101009.62872,89.0,4.504512331797706e-05,0.037531255552320245,-0.1247763822,-0.0152854246,-0.0007055770724,0.01662388152,0.09185209846,89.0,22.865168539325843,11.3068673935517,-1.0,13.0,24.0,31.0,47.0,89.0,-0.5424719101123595,0.22566709641978663,-1.0,-0.74,-0.52,-0.38,-0.06
90.0,929300.1337097398,64835.227932600326,842847.383915752,882089.5010349208,903537.689757555,969213.9020947242,1082843.67180914,90.0,0.0001123007314977773,0.02420343888887075,-0.0850205436,-0.01014788772375,-0.0003733040669,0.0145246188475,0.07769319382,90.0,26.266666666666666,7.218577780182141,-1.0,22.0,24.0,29.75,47.0,90.0,-0.4744444444444445,0.1435356989703306,-1.0,-0.56,-0.52,-0.405,-0.06
90.0,983051.1266305,96792.57260818392,833528.306705,919235.906705,964275.431705,999982.57667625,1242776.056705,90.0,-0.0002736289700566657,0.04104843651330091,-0.1736760046,-0.01538543161,-0.0009856370242500002,0.01283200123,0.178032646,90.0,25.7,5.017833365646298,-1.0,23.0,26.0,29.0,40.0,90.0,-0.48577777777777775,0.0991761317989452,-1.0,-0.54,-0.48,-0.42,-0.2
90.0,1195782.4293226888,181466.15700790222,973216.152498,1002094.057498,1244107.427498,1368076.6599980001,1470382.932498,90.0,0.003903166826568,0.022512426714808038,-0.05085161099,-0.007311683435,-0.00021600493829999998,0.012488965525000001,0.09561714051,90.0,41.077777777777776,14.313683072365752,-1.0,27.0,47.0,53.0,62.0,90.0,-0.17822222222222217,0.2856200736413958,-1.0,-0.46,-0.06,0.06,0.24
87.0,1001107.9012976851,60194.2009263348,857391.779716038,955978.1934391491,1010434.32422362,1049711.95646699,1123044.36221441,87.0,0.0008593410850643678,0.024702845369899827,-0.06365339104,-0.011276593304999999,-0.0002864712444,0.010952875795,0.07686236758,87.0,55.97701149425287,9.724073473522862,-1.0,51.0,58.0,62.0,69.0,87.0,0.11977011494252872,0.1931259199511121,-1.0,0.02,0.16,0.24,0.38
89.0,984443.6729293386,45088.27092530211,872554.403107404,960640.138545941,984283.990002256,1000385.92392304,1119877.16550712,89.0,0.0005428750719426969,0.023637500407112183,-0.0806889148,-0.009352996121,0.0,0.01271300377,0.06186802856,89.0,54.57303370786517,9.064024342583252,-1.0,50.0,53.0,61.0,69.0,89.0,0.09168539325842696,0.17989413525141654,-1.0,0.0,0.06,0.22,0.38
