,,,account_value,account_value,account_value,account_value,account_value,account_value,account_value,daily_return,daily_return,daily_return,daily_return,daily_return,daily_return,daily_return,fear_greed,fear_greed,fear_greed,fear_greed,fear_greed,fear_greed,fear_greed,fear_greed_norm,fear_greed_norm,fear_greed_norm,fear_greed_norm,fear_greed_norm,fear_greed_norm,fear_greed_norm,,,
window,date range,no_of_days,mean,std,min,25.00%,50.00%,75.00%,max,mean,std,min,25.00%,50.00%,75.00%,max,mean,std,min,25.00%,50.00%,75.00%,max,mean,std,min,25.00%,50.00%,75.00%,max,initial_value,final_account_value,downside_deviation
1,03-Aug-2021 - 31-Oct-2021,90,1268174.878,151349.0507,1000000,1161925.945,1239165.122,1370498.126,1604514.018,0.005797780214,0.03997487037,-0.125687704,-0.01566925261,0.005066816819,0.03275743865,0.09959122548,60.96666667,19.13550145,-1,49.25,71,74,84,0.2195555556,0.3819874435,-1,-0.015,0.42,0.48,0.68,1000000,1567282.699,0.02611774595
2,03-Oct-2021 - 31-Dec-2021,90,1184639.068,98377.47996,993073.1189,1117385.194,1173959.389,1249345.927,1389674.391,0.001160021786,0.03590370229,-0.1044808678,-0.01651404354,-0.001011929858,0.02823402743,0.08486472418,51.91111111,22.62128084,-1,29,53,73,84,0.03844444444,0.4519046114,-1,-0.42,0.06,0.46,0.68,1000000,1047616.518,0.0243103439
3,03-Dec-2021 - 02-Mar-2022,90,787994.6813,115626.5828,617516.2956,691470.9676,758542.6806,894688.2799,1009439.016,-0.003485304144,0.03720848462,-0.1232428746,-0.02662731125,-0.003829227331,0.01949328428,0.1084046516,27.91111111,11.05923219,-1,21,25,29.75,54,-0.4415555556,0.2206064731,-1,-0.58,-0.5,-0.405,0.08,1000000,719007.0848,0.02424249137
4,02-Feb-2022 - 29-Apr-2022,87,1122955.13,72751.67671,1000000,1067467.335,1114778.356,1173126.207,1284621.158,0.001100851126,0.03482996058,-0.07782658512,-0.01936668364,0.0001968998625,0.01700752727,0.1446973123,33.16091954,12.45071546,-1,24,28,46,60,-0.3365517241,0.2483846772,-1,-0.52,-0.44,-0.08,0.2,1000000,1045619.72,0.01973646277
5,05-Apr-2022 - 02-Jul-2022,89,653588.0782,196475.923,340585.7734,546791.8273,618402.3878,861432.7879,1000000,-0.0105681935,0.0436812485,-0.1552851928,-0.03236330149,-0.008705523271,0.01531615526,0.1105944308,16.8988764,8.458514999,-1,11,14,23,48,-0.6617977528,0.1687020086,-1,-0.78,-0.72,-0.54,-0.04,1000000,356070.8378,0.03235570412
6,03-Jun-2022 - 30-Aug-2022,89,891903.7003,121404.2802,659743.2287,782949.6287,899460.0287,996217.2287,1101009.629,0.00004504512328,0.03753125555,-0.1247763822,-0.0152854246,-0.0007055770724,0.01662388152,0.09185209846,22.86516854,11.30686739,-1,13,24,31,47,-0.5424719101,0.2256670964,-1,-0.74,-0.52,-0.38,-0.06,1000000,942984.0287,0.02799890305
7,03-Aug-2022 - 31-Oct-2022,90,929300.1337,64835.22793,842847.3839,882089.501,903537.6898,969213.9021,1082843.672,0.0001123007316,0.02420343889,-0.0850205436,-0.01014788772,-0.0003733040669,0.01452461885,0.07769319382,26.26666667,7.21857778,-1,22,24,29.75,47,-0.4744444444,0.143535699,-1,-0.56,-0.52,-0.405,-0.06,1000000,983875.7965,0.01912532198
8,03-Oct-2022 - 31-Dec-2022,90,983051.1266,96792.57261,833528.3067,919235.9067,964275.4317,999982.5767,1242776.057,-0.000273628969,0.04104843651,-0.1736760046,-0.01538543161,-0.0009856370245,0.01283200123,0.178032646,25.7,5.017833366,-1,23,26,29,40,-0.4857777778,0.0991761318,-1,-0.54,-0.48,-0.42,-0.2,1000000,904045.3067,0.03303270561
9,03-Dec-2022 - 02-Mar-2023,90,1195782.429,181466.157,973216.1525,1002094.057,1244107.427,1368076.66,1470382.932,0.003903166826,0.02251242671,-0.05085161099,-0.007311683435,-0.0002160049383,0.01248896552,0.09561714051,41.07777778,14.31368307,-1,27,47,53,62,-0.1782222222,0.2856200736,-1,-0.46,-0.06,0.06,0.24,1000000,1388973.792,0.01189105375
