pair,value,window
daily_return ~ volatility,-0.08935985686275166,1
daily_return ~ turbulence,0.11986817091276686,1
turbulence ~ volatility,0.17423961009203906,1
daily_return ~ volatility,0.04615594502382863,2
daily_return ~ turbulence,0.04609597122466421,2
turbulence ~ volatility,0.33044424693397784,2
daily_return ~ volatility,0.3015394075439825,3
daily_return ~ turbulence,0.18683246756917365,3
turbulence ~ volatility,0.2160332476088421,3
daily_return ~ volatility,0.1022104619887783,4
daily_return ~ turbulence,0.4681984896174401,4
turbulence ~ volatility,0.24761808296596804,4
daily_return ~ volatility,0.061568805165687246,5
daily_return ~ turbulence,-0.4195555961849416,5
turbulence ~ volatility,0.1781970315619377,5
daily_return ~ volatility,0.0007574208194714197,6
daily_return ~ turbulence,0.1256732378763718,6
turbulence ~ volatility,-0.02239920967282483,6
daily_return ~ volatility,-0.060978434559046994,7
daily_return ~ turbulence,0.16531811063606602,7
turbulence ~ volatility,0.1216471437375196,7
daily_return ~ volatility,-0.013543208859556689,8
daily_return ~ turbulence,-0.33181083543354273,8
turbulence ~ volatility,0.07775906272061352,8
daily_return ~ volatility,-0.029895298646844683,9
daily_return ~ turbulence,0.39712697462672664,9
turbulence ~ volatility,-0.018361029045247203,9
daily_return ~ volatility,0.022541282169205364,10
daily_return ~ turbulence,0.35142269743333515,10
turbulence ~ volatility,0.11368460212270799,10
daily_return ~ volatility,0.11698192920094957,11
daily_return ~ turbulence,-0.14471357546469948,11
turbulence ~ volatility,0.17414465986894143,11
daily_return ~ volatility,0.057181113833686056,12
daily_return ~ turbulence,0.055925441708924016,12
turbulence ~ volatility,0.0837369230419596,12
daily_return ~ volatility,0.01499765190196712,13
daily_return ~ turbulence,0.15192896874910095,13
turbulence ~ volatility,-0.044854786466641414,13
daily_return ~ volatility,-0.010492631208454704,14
daily_return ~ turbulence,0.31257423571750403,14
turbulence ~ volatility,-0.044579978554895115,14
daily_return ~ volatility,-0.17335233869112215,15
daily_return ~ turbulence,-0.007556507821153735,15
turbulence ~ volatility,0.17566240025848584,15
daily_return ~ volatility,-0.212924342598801,16
daily_return ~ turbulence,0.030882799811337455,16
turbulence ~ volatility,0.10361246230017987,16
daily_return ~ volatility,-0.0698981376438733,17
daily_return ~ turbulence,0.2993510332439311,17
turbulence ~ volatility,-0.06368272067289284,17
daily_return ~ volatility,0.028781219898314836,18
daily_return ~ turbulence,0.24625116124918814,18
turbulence ~ volatility,0.14095937724559673,18
daily_return ~ volatility,-0.05657373893692906,19
daily_return ~ turbulence,0.31379843983341144,19
turbulence ~ volatility,0.32689864541717284,19
daily_return ~ volatility,0.01459383005187155,20
daily_return ~ turbulence,0.5528872775306127,20
turbulence ~ volatility,0.036573863853485516,20
daily_return ~ volatility,-0.011743834130537598,21
daily_return ~ turbulence,0.08793176941963332,21
turbulence ~ volatility,0.0410497714888337,21
daily_return ~ volatility,-0.11901850473256544,22
daily_return ~ turbulence,0.14016712165003384,22
turbulence ~ volatility,0.21041367851826417,22
