,,,account_value,account_value,account_value,account_value,account_value,account_value,account_value,daily_return,daily_return,daily_return,daily_return,daily_return,daily_return,daily_return,volatility,volatility,volatility,volatility,volatility,volatility,volatility,turbulence,turbulence,turbulence,turbulence,turbulence
window,date range,No_of_days,mean,std,min,25%,50.00%,75.00%,max,mean,std,min,25%,50%,75.00%,max,mean,std,min,25%,50%,75%,max,mean,std,min,25.00%,50%
1,03-Aug-2021 - 31-Oct-2021,90,1330468.82,164153.9061,1000000,1235573.323,1319107.598,1476207.673,1639335.198,0.00641528453,0.04551630592,-0.1559988344,-0.01617479514,0.007209262089,0.0331554064,0.1122705234,0.2408006836,0.04807758895,0,0.207531218,0.2386340146,0.2773519299,0.3093725539,0.01695652437,0.02082573727,0,0.004690425241,0.01108616711
2,03-Oct-2021 - 31-Dec-2021,90,1269858.654,153590.0835,947841.0327,1140248.283,1276492.783,1383542.033,1532684.033,0.002759899069,0.03867259346,-0.08643108986,-0.01829168295,0.004828471819,0.0221749408,0.0962574132,0.2354897147,0.03967603187,0,0.2119804362,0.2421682351,0.2619298697,0.3093725539,0.01359519771,0.01594369177,0,0.00334525071,0.008219253973
3,03-Dec-2021 - 02-Mar-2022,90,773676.084,122524.0398,599388.04,665874.04,746472.04,887172.04,1020396.04,-0.0052148745,0.04316688675,-0.166291173,-0.03172644731,-0.005570894589,0.02153834722,0.09853485738,0.2200088399,0.039619021,0,0.1879246347,0.2304041203,0.2516630923,0.2642434516,0.01589086938,0.02218317583,0,0.003753581363,0.00893843153
4,02-Feb-2022 - 29-Apr-2022,87,1104924.792,77837.63191,977110.8652,1041858.919,1101989.825,1156983.686,1269438.909,0.001032565668,0.03512885399,-0.07674622754,-0.02195292155,0,0.02005000559,0.1344128584,0.1929408466,0.04675019443,0,0.1520391735,0.2032247698,0.2290100968,0.2640211418,0.01265296311,0.02068033993,0,0.002549973444,0.006540319814
5,05-Apr-2022 - 02-Jul-2022,89,724520.8003,163805.8299,443057.2104,606949.6314,691474.4314,887275.2314,1000000,-0.006886054688,0.04580966055,-0.1679797044,-0.02951216745,-0.004619007933,0.02167217048,0.09187729946,0.2312864594,0.07281271076,0,0.1548853768,0.2487618109,0.3009944117,0.3281437819,0.02268551004,0.03873792203,0,0.004205179968,0.01093088957
6,03-Jun-2022 - 30-Aug-2022,89,829593.4939,160209.4161,560765.6907,672402.9607,864864.5107,955918.5007,1117246.151,-0.0001393083794,0.05634036822,-0.1567273859,-0.02499541282,-0.001712422921,0.02506826223,0.180948634,0.2154471618,0.04942878246,0,0.1786903184,0.1952691201,0.2611013117,0.3198369328,0.01739370997,0.02383498611,0,0.003177602621,0.007579871552
7,03-Aug-2022 - 31-Oct-2022,90,901199.5015,72180.63597,808341.7008,848174.7983,877164.4458,938796.9683,1073733.759,-0.0008124471556,0.02702002506,-0.1021116386,-0.009982678018,-0.00403874273,0.01190997201,0.1043855922,0.1465947817,0.03690577396,0,0.1225082037,0.1575701908,0.1749418073,0.1952691201,0.01335924773,0.02559588093,0,0.001457025547,0.004651555898
8,03-Oct-2022 - 31-Dec-2022,90,981678.1028,87855.82548,854242.5934,930709.0552,965389.7906,997213.0906,1240415.678,-0.0006055588034,0.03783832731,-0.1776277974,-0.01411423292,-0.001403258882,0.01391979065,0.1622591366,0.1878878667,0.08347115237,0,0.1116340977,0.1694146091,0.2775917878,0.3123264306,0.01712438989,0.04382628351,0,0.001652238071,0.004961814666
9,03-Dec-2022 - 02-Mar-2023,90,1121095.312,151292.5315,916240.7674,964203.0397,1170116.796,1261147.711,1340408.736,0.002907866484,0.02221599933,-0.05952957917,-0.007813250557,-0.00007409848274,0.0147458743,0.08881554875,0.1594525016,0.04676567258,0,0.1260851896,0.1561208665,0.1726774156,0.297030878,0.0151066288,0.03021269123,0,0.001895800633,0.005434522727
10,02-Feb-2023 - 29-Apr-2023,87,974066.5517,48391.34096,853123.9108,949254.0108,973363.8108,1015066.775,1074748.611,0.0002481563271,0.02490143485,-0.06701346225,-0.01151793673,0.0006445322283,0.01155482221,0.07541562843,0.1380027774,0.02252945087,0,0.1245665058,0.1443861198,0.1535232803,0.1649996226,0.01810687819,0.02356340849,0,0.003809762219,0.01053699971
11,05-Apr-2023 - 02-Jul-2023,89,993099.7912,50570.61431,876852.7891,961659.8025,992464.0941,1035998.674,1086254.832,0.0007370345021,0.02064456109,-0.05685578471,-0.007685081397,0.0003131654985,0.01270672831,0.05310395606,0.1258242678,0.03508654012,0,0.1070292733,0.1230660611,0.1541523216,0.1837904989,0.01645907416,0.02457285713,0,0.001835979965,0.006257116235
12,03-Jun-2023 - 30-Aug-2023,89,919335.2674,43630.01385,816232.7553,902568.9024,926739.0904,943767.6176,1012807.29,-0.001520636015,0.01950962483,-0.06557060183,-0.01123783452,-0.00008035572779,0.006603045065,0.06043633997,0.1254812121,0.03730609362,0,0.1002143834,0.1246076116,0.1609441493,0.1837904989,0.01565601586,0.02834201656,0,0.001496475613,0.003873991528
13,03-Aug-2023 - 31-Oct-2023,90,908381.4445,44485.90833,850608.0158,879740.6908,892078.0158,927534.8658,1016902.716,-0.0006050769309,0.01451059465,-0.05991016178,-0.007928332517,0,0.006204894071,0.04912446833,0.08055827042,0.01743465803,0,0.06604910515,0.08249179374,0.09566173372,0.1112212218,0.01816476263,0.03022504947,0,0.002284480206,0.006906002402
14,03-Oct-2023 - 31-Dec-2023,90,1215486.023,157968.3863,946674.7898,1114193.303,1243086.354,1355984.274,1488096.301,0.004246609835,0.02174991859,-0.05487813877,-0.006892691881,0.002903796316,0.01492450213,0.07936501937,0.1157991275,0.04348242388,0,0.0810733458,0.1089135655,0.1587454458,0.1792092147,0.03209637019,0.06710097316,0,0.003253398716,0.009873828364
15,03-Dec-2023 - 01-Mar-2024,90,1132917.483,124123.5255,999713.1926,1056441.436,1082812.916,1167429.752,1561055.176,0.005268568314,0.02501876198,-0.07045361273,-0.008845013639,0.00310228919,0.01764557066,0.08662735864,0.1457845255,0.03349967271,0,0.1185898088,0.1506773849,0.1789519125,0.1918485855,0.01739572857,0.0288526606,0,0.002625887654,0.006993273767
16,02-Feb-2024 - 29-Apr-2024,88,1403127.926,188535.4203,994919.8067,1299570.956,1416873.826,1526194.242,1766007.802,0.004383615357,0.03382917623,-0.1027442967,-0.01230070457,0.003285810362,0.02467196721,0.1132713093,0.1984548831,0.08115655184,0,0.1214900152,0.1679134477,0.2872245363,0.3216564108,0.01813077617,0.02647602268,0,0.002564524664,0.008470206345
17,04-Apr-2024 - 01-Jul-2024,89,1011142.133,51883.66114,909606.0894,984501.0465,1002374.066,1027765.346,1198542.764,0.00007197132226,0.02387326137,-0.06959557132,-0.01232026678,-0.000692688477,0.01329092954,0.08692179392,0.1582335286,0.04895156169,0,0.1227653853,0.1569385744,0.1645727462,0.305734773,0.0138578171,0.03670118894,0,0.002194500224,0.005035951348
18,03-Jun-2024 - 30-Aug-2024,89,906163.9454,77557.7251,741028.8266,847960.8266,916110.0266,938932.8266,1135240.827,-0.001275406868,0.03157813605,-0.07740608425,-0.01919868471,-0.001117102554,0.01714599973,0.09454282656,0.1693486048,0.02310265931,0,0.1613895519,0.1738410378,0.178720635,0.196485975,0.01927866232,0.02687728265,0,0.004200538652,0.009633420267
19,03-Aug-2024 - 31-Oct-2024,90,871854.238,46316.52546,766513.0698,835413.6756,873837.858,906545.3978,1000000,-0.001009523715,0.03395881455,-0.1001003414,-0.02065294341,0.0007701322177,0.01723768897,0.1448897425,0.1418028649,0.03692904834,0,0.1177613399,0.1285955303,0.1795568201,0.196485975,0.01507647229,0.02130124898,0,0.003964215571,0.01019692078
20,03-Oct-2024 - 31-Dec-2024,90,1143813.467,100653.8901,994860.046,1066662.046,1120104.046,1239637.546,1349856.046,0.002979091782,0.0275780422,-0.07115332549,-0.01186182239,0.001831208148,0.01482559963,0.1339773411,0.1425178656,0.04439638017,0,0.1086328846,0.1275625809,0.1939281818,0.215074313,0.02387090996,0.05866004802,0,0.003781676823,0.008789685678
21,03-Dec-2024 - 02-Mar-2025,90,1019436.865,45677.00338,883908.1503,999193.7503,1015870.65,1052618.725,1102845.45,0.00008745047278,0.02323779044,-0.05377246671,-0.01476968228,-0.00006552639165,0.01033852694,0.09096443436,0.1612907142,0.04014851959,0,0.1318252157,0.1728786227,0.1951352604,0.215074313,0.01501518958,0.01944164154,0,0.003962615392,0.008370225556
22,02-Feb-2025 - 29-Apr-2025,87,909781.9421,62865.00788,785244.5762,862936.3978,885810.0549,978354.2849,1036181.599,0.00001248289388,0.02866010134,-0.08516213218,-0.01393210271,0.000189784643,0.01000566381,0.09345516552,0.1590347258,0.03217212244,0,0.1369351586,0.171975011,0.1844933004,0.2039682235,0.01638776624,0.021124694,0,0.002429054599,0.008967197492
