agent,window,train_start,train_end,val_start,val_end,trade_start,trade_end,sharpe (ann - trade),sharpe (best - val),sortino,min_account_value,max_account_value,total_return (CAGR),mean_return,volatility (std),max_drawdown,initial_acc_val,final_acc_val
A2C,1,2020-05-04,2021-05-03,2021-05-04,2021-08-02,2021-08-03,2021-11-01,2.70796596722928,0.808539194734238,4.00666862172261,"1,000,000.00","1,639,335.20",62.17%,0.00649,0.045769024480706,0.323932409135644,1000000,"1,621,716.50"
A2C,2,2020-07-04,2021-07-03,2021-07-04,2021-10-02,2021-10-03,2022-01-01,1.37103245794535,0.670459961793957,2.21687985124361,"947,841.03","1,532,684.03",19.95%,0.00279,0.0388905780700184,0.217412390878671,1000000,"1,199,459.53"
DDPG,3,2020-09-04,2021-09-03,2021-09-04,2021-12-02,2021-12-03,2022-03-03,-1.63327756988377,0.448004415105759,-2.59046715414667,"599,388.04","1,020,396.04",-31.21%,-0.00341,0.0398297131996222,0.412592741931848,1000000,"687,924.04"
PPO,4,2020-11-04,2021-11-03,2021-11-04,2022-02-01,2022-02-02,2022-04-30,0.564785289721813,0.562913449014652,0.960866396624213,"977,110.87","1,269,438.91",3.82%,0.00104,0.0353347105311562,0.189344724810071,1000000,"1,038,244.71"
A2C,5,2021-01-04,2022-01-03,2022-01-04,2022-04-04,2022-04-05,2022-07-03,-2.88829699627077,0.685651217978191,-3.57453506077353,"443,057.21","1,000,000.00",-50.90%,-0.00696,0.0460661996642731,0.55694278958,1000000,"490,960.91"
DDPG,6,2021-03-04,2022-03-03,2022-03-04,2022-06-02,2022-06-03,2022-08-31,-0.0475039399311358,0.457659136159119,-0.0711005395918374,"560,765.69","1,117,246.15",-14.11%,-0.00014,0.0566632363113032,0.435742588753434,1000000,"858,851.67"
A2C,7,2021-05-04,2022-05-03,2022-05-04,2022-08-02,2022-08-03,2022-11-01,-0.577639486892487,0.824410939712256,-0.736641878444581,"808,341.70","1,073,733.76",-10.06%,-0.00082,0.0271729746731633,0.247167471234202,1000000,"899,386.15"
PPO,8,2021-07-04,2022-07-03,2022-07-04,2022-10-02,2022-10-03,2023-01-01,-0.307447023079851,0.396044382015598,-0.385514178946409,"854,242.59","1,240,415.68",-11.25%,-0.00061,0.0380526551107674,0.311325543291716,1000000,"887,457.49"
PPO,9,2021-09-04,2022-09-03,2022-09-04,2022-12-02,2022-12-03,2023-03-03,2.51475772066892,0.348661787672155,4.16697058735735,"916,240.77","1,340,408.74",27.08%,0.00294,0.0223396953688724,0.0798467056723145,1000000,"1,270,820.87"
A2C,10,2021-11-04,2022-11-03,2022-11-04,2023-02-01,2023-02-02,2023-04-30,0.1914823305926,0.468673982210023,0.279767561397168,"853,123.91","1,074,748.61",-0.50%,0.00025,0.025047470947061,0.163881233194183,1000000,"995,000.81"
PPO,11,2022-01-04,2023-01-03,2023-01-04,2023-04-04,2023-04-05,2023-07-03,0.685894629373209,0.540910230597865,0.99349561962316,"876,852.79","1,086,254.83",4.79%,0.00075,0.0207627169281272,0.192774325981681,1000000,"1,047,941.02"
PPO,12,2022-03-04,2023-03-03,2023-03-04,2023-06-02,2023-06-03,2023-08-31,-1.49748876509522,0.261209626322271,-1.85897855947713,"816,232.76","1,012,807.29",-14.13%,-0.00154,0.0196207437564645,0.194088783504305,1000000,"858,683.97"
