date,account_value,reward,daily_volatility,fear_greed,fear_greed_norm,fear_greed_mapped,window
2021-08-03,"1,000,000.00",0,0,-1,-1,0,1
2021-08-04,"1,034,951.97",3.49519681930542,18030.962853098,42,-0.16,-1,1
2021-08-05,"1,044,657.71",0.970574021339417,18544.6357924447,50,0,1,1
2021-08-06,"1,058,505.39",1.38476800918579,19459.0892595797,52,0.04,1,1
2021-08-07,"1,101,130.28",4.2624888420105,20215.2924245192,69,0.38,1,1
2021-08-08,"1,056,650.79",-4.44794893264771,19884.3038785493,74,0.48,1,1
2021-08-09,"1,095,381.02",3.87302303314209,21006.8682154216,65,0.3,1,1
2021-08-10,"1,149,782.62",5.44015979766846,20691.7305542883,71,0.42,1,1
2021-08-11,"1,208,635.26",5.88526391983032,20647.9840599598,70,0.4,1,1
2021-08-12,"1,192,252.96",-1.63822996616364,20150.3383243921,70,0.4,1,1
2021-08-13,"1,269,837.06",7.75840997695923,21685.8409198096,70,0.4,1,1
2021-08-14,"1,263,376.87",-0.646018981933594,21354.6702427991,76,0.52,2,1
2021-08-15,"1,280,006.45",1.66295802593231,21299.3614191897,71,0.42,1,1
2021-08-16,"1,285,168.42",0.516197025775909,20828.3031371006,72,0.44,1,1
2021-08-17,"1,242,141.70",-4.30267190933228,20293.2896334445,72,0.44,1,1
2021-08-18,"1,224,677.55",-1.74641501903534,20298.5322617923,73,0.46,1,1
2021-08-19,"1,333,233.47",10.8555917739868,21220.792232554,70,0.4,1,1
2021-08-20,"1,406,366.53",7.31330585479736,22399.1814349101,70,0.4,1,1
2021-08-21,"1,387,233.24",-1.91332900524139,22178.2584754294,78,0.56,2,1
2021-08-22,"1,387,047.78",-0.018546000123024,22371.6321886108,76,0.52,2,1
2021-08-23,"1,542,772.36",15.5724582672119,22458.3787128234,79,0.58,2,1
2021-08-24,"1,457,955.32",-8.48170375823975,21643.3257461977,79,0.58,2,1
2021-08-25,"1,555,538.19",9.75828742980957,22234.8815616909,73,0.46,1,1
2021-08-26,"1,477,985.00",-7.75531911849976,21267.4621093449,75,0.5,2,1
2021-08-27,"1,528,677.40",5.0692400932312,22272.5712751631,71,0.42,1,1
2021-08-28,"1,503,022.10",-2.5655300617218,22198.7383125903,78,0.56,2,1
2021-08-29,"1,482,930.60",-2.00915002822876,22144.8777636911,72,0.44,1,1
2021-08-30,"1,422,965.20",-5.99654006958008,21308.2433734005,73,0.46,1,1
2021-08-31,"1,434,092.80",1.11275994777679,21320.3563338113,73,0.46,1,1
2021-09-01,"1,512,913.30",7.88205003738403,22034.3224084629,71,0.42,1,1
2021-09-02,"1,495,294.60",-1.76187002658844,22249.6303814753,74,0.48,1,1
2021-09-03,"1,510,131.40",1.48368000984192,22570.4373192078,74,0.48,1,1
2021-09-04,"1,538,568.60",2.84371995925903,22539.797064576,72,0.44,1,1
2021-09-05,"1,560,514.70",2.19461011886597,23390.6846441403,73,0.46,1,1
2021-09-06,"1,533,623.00",-2.68916988372803,23824.7226732741,79,0.58,2,1
2021-09-07,"1,294,379.60",-23.9243392944336,21219.2999723873,79,0.58,2,1
2021-09-08,"1,282,942.90",-1.143669962883,20822.9409253678,47,-0.06,-1,1
2021-09-09,"1,302,416.20",1.94732999801636,21000.1447216352,45,-0.1,-1,1
2021-09-10,"1,240,905.30",-6.15109014511108,20324.3179442597,46,-0.08,-1,1
2021-09-11,"1,252,342.00",1.143669962883,20462.8970204628,31,-0.38,-1,1
2021-09-12,"1,286,961.20",3.46192002296448,20831.7471725585,32,-0.36,-1,1
2021-09-13,"1,233,796.00",-5.31652021408081,20350.9702882628,44,-0.12,-1,1
2021-09-14,"1,280,779.20",4.69831991195679,21337.0950086041,30,-0.4,-1,1
2021-09-15,"1,333,326.20",5.25470018386841,21770.06841375,49,-0.02,-1,1
2021-09-16,"1,311,689.20",-2.16370010375977,21600.9944842012,53,0.06,1,1
2021-09-17,"1,256,978.50",-5.47106981277466,21435.1044368225,48,-0.04,-1,1
2021-09-18,"1,269,651.60",1.2673100233078,21893.6810695466,50,0,1,1
2021-09-19,"1,263,160.50",-0.649110019207001,21422.2974235305,53,0.06,1,1
2021-09-20,"1,125,611.00",-13.7549495697021,19519.3622902958,50,0,1,1
2021-09-21,"1,064,718.30",-6.08927011489868,18495.7040662624,27,-0.46,-1,1
