date,account_value,reward,daily_return,daily_volatility,fear_greed,fear_greed_norm,fear_greed_mapped,window
2024-09-04,1000000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1
2024-09-05,975704.5540377601,,,0.0,29.0,-0.42,-1.0,1
2024-09-06,933944.9892377602,,,0.0,22.0,-0.56,-2.0,1
2024-09-07,940576.3364377603,,,0.0,23.0,-0.54,-2.0,1
2024-09-08,948999.93963776,,,0.0,29.0,-0.42,-1.0,1
2024-09-09,966922.4996377601,,,0.0,26.0,-0.48,-1.0,1
2024-09-10,969252.43243776,,,0.0,33.0,-0.34,-1.0,1
2024-09-11,958498.8964377602,,,0.0,37.0,-0.26,-1.0,1
2024-09-12,1008323.6132377601,,,0.0,31.0,-0.38,-1.0,1
2024-09-13,1026604.6244377601,,,0.0,32.0,-0.36,-1.0,1
2024-09-14,1067468.0612377604,,,0.0,50.0,0.0,1.0,1
2024-09-15,1022661.6612377601,,,0.0,51.0,0.02,1.0,1
2024-09-16,1051337.7572377604,,,0.0,39.0,-0.22,-1.0,1
2024-09-17,1046498.6660377601,,,0.0,33.0,-0.34,-1.0,1
2024-09-18,1048828.5988377603,,,0.0,45.0,-0.1,-1.0,1
2024-09-19,1051696.20843776,,,0.0,49.0,-0.02,-1.0,1
2024-09-20,1048649.3732377603,,,0.0,54.0,0.08,1.0,1
2024-09-21,1071052.57323776,,,0.0,54.0,0.08,1.0,1
2024-09-22,1052233.88523776,,,0.0,52.0,0.04,1.0,1
2024-09-23,1047932.4708377601,,,0.0,50.0,0.0,1.0,1
2024-09-24,1059402.9092377601,,,0.0,54.0,0.08,1.0,1
2024-09-25,1045064.86123776,,,0.0,59.0,0.18,1.0,1
2024-09-26,1058327.55563776,,,0.0,50.0,0.0,1.0,1
2024-09-27,1055280.72043776,,,0.0,61.0,0.22,1.0,1
2024-09-28,1100087.1204377604,,,0.0,64.0,0.28,1.0,1
2024-09-29,1149194.93483776,,,0.0,63.0,0.26,1.0,1
2024-09-30,1095785.7060377602,,,0.0,61.0,0.22,1.0,1
2024-10-01,1069439.54283776,,,0.0,50.0,0.0,1.0,1
2024-10-02,964771.7924377602,,,0.0,42.0,-0.16,-1.0,1
2024-10-04,1000000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,2
2024-10-05,991286.6434486,,,0.0,49.0,-0.02,-1.0,2
