date,account_value,daily_volatility,volatility,turbulence,window
2021-08-03,1000000,0,0,0,1
2021-08-04,1034951.967787,18030.962853098,0.194066094905886,0.0261400701053276,1
2021-08-05,1044657.707787,18544.6357924447,0.185320715425737,0.00593970395643358,1
2021-08-06,1058505.387787,19459.0892595796,0.184334314990377,0.00891435717849796,1
2021-08-07,1101130.277787,20215.2924245191,0.17887771053931,0.0265190673802125,1
2021-08-08,1056650.787787,19884.3038785492,0.183712803598698,0.00614184520798731,1
2021-08-09,1095381.017787,21006.8682154215,0.186716360340077,0.00920111255335001,1
2021-08-10,1149782.617787,20691.7305542882,0.19181013580924,0.0326205065319224,1
2021-08-11,1208635.257787,20647.9840599598,0.195547319645163,0.0195339141698936,1
2021-08-12,1192252.957787,20150.3383243921,0.19424340992875,0.0056721103789657,1
2021-08-13,1269837.057787,21685.8409198096,0.202536039301332,0.0193741311680714,1
2021-08-14,1263376.867787,21354.670242799,0.202730511055334,0.00209057703098423,1
2021-08-15,1280006.447787,21299.3614191897,0.195502865212703,0.00165791007875776,1
2021-08-16,1285168.417787,20828.3031371006,0.194652067596891,0.0187405017471556,1
2021-08-17,1242141.697787,20293.2896334445,0.199880515626066,0.00463109734029416,1
2021-08-18,1224677.547787,20298.5322617922,0.182653122073667,0.00136158084127147,1
2021-08-19,1333233.467787,21220.7922325539,0.183606887852352,0.01888402895011,1
2021-08-20,1406366.527787,22399.1814349101,0.16154003614289,0.0166090526307944,1
2021-08-21,1387233.237787,22178.2584754293,0.163514470774949,0.00211493229218693,1
2021-08-22,1387047.777787,22371.6321886108,0.164087425481629,0.000782300351901381,1
2021-08-23,1542772.357787,22458.3787128234,0.191855708795314,0.104479303127334,1
2021-08-24,1457955.317787,21643.3257461976,0.205140375947976,0.0132367401259468,1
2021-08-25,1555538.187787,22234.8815616909,0.211285734027147,0.0224685105587892,1
2021-08-26,1477984.997787,21267.4621093449,0.221527827393775,0.0149385364275826,1
2021-08-27,1528677.397787,22272.5712751631,0.221878972068625,0.00956964886050871,1
2021-08-28,1503022.097787,22198.7383125903,0.224318630137204,0.00248206313897538,1
2021-08-29,1482930.597787,22144.8777636911,0.226154578174201,0.00174044099786479,1
2021-08-30,1422965.197787,21308.2433734005,0.232078830724543,0.0344300189541501,1
2021-08-31,1434092.797787,21320.3563338113,0.231826355878172,0.0346816960700648,1
2021-09-01,1512913.297787,22034.3224084628,0.235020701089019,0.0519300348762717,1
2021-09-02,1495294.597787,22249.6303814752,0.233633350450223,0.00486840894318917,1
2021-09-03,1510131.397787,22570.4373192078,0.232646239184597,0.00538475786708469,1
2021-09-04,1538568.597787,22539.7970645759,0.232665634802678,0.00621922830304205,1
2021-09-05,1560514.697787,23390.6846441403,0.232665301789021,0.00896231402156663,1
2021-09-06,1533622.997787,23824.7226732741,0.233027087349406,0.00882721705377263,1
2021-09-07,1294379.597787,21219.2999723872,0.284651686636538,0.0998128698141753,1
2021-09-08,1282942.897787,20822.9409253677,0.283524490662116,0.0112618937265883,1
2021-09-09,1302416.197787,21000.1447216351,0.280068315248579,0.0111245011275745,1
2021-09-10,1240905.297787,20324.3179442596,0.280740666572051,0.0133029991988376,1
2021-09-11,1252341.997787,20462.8970204628,0.280334783499065,0.000454816550040795,1
2021-09-12,1286961.197787,20831.7471725585,0.273973271013101,0.0032837972969044,1
2021-09-13,1233795.997787,20350.9702882628,0.27737579786876,0.00614906961587888,1
2021-09-14,1280779.197787,21337.0950086041,0.279742907158638,0.0075363810163712,1
2021-09-15,1333326.197787,21770.06841375,0.282644829691573,0.00647178838906527,1
2021-09-16,1311689.197787,21600.9944842011,0.28083668035741,0.00158528945281384,1
2021-09-17,1256978.497787,21435.1044368225,0.284026523336843,0.0144365583973107,1
2021-09-18,1269651.597787,21893.6810695465,0.269308945093154,0.00215993943159984,1
2021-09-19,1263160.497787,21422.2974235304,0.262969709680558,0.00813776848243199,1
2021-09-20,1125610.997787,19519.3622902958,0.284250092219537,0.0464528564118833,1
2021-09-21,1064718.297787,18495.7040662624,0.288393135037975,0.0154475976456111,1
2021-09-22,1171666.897787,19742.8336599908,0.283358318224822,0.0287974162809891,1
2021-09-23,1185576.397787,20347.6689369656,0.2795950561103,0.00423776469753123,1
2021-09-24,1097482.897787,19435.5790447639,0.277280325962339,0.015676483716595,1
2021-09-25,1080791.497787,19372.5525353286,0.274220456410921,0.00133306310381919,1
2021-09-26,1063481.897787,19575.4746449842,0.270443230505896,0.0228866978579315,1
2021-09-27,1037208.397787,19129.0524366826,0.270749071426828,0.0058415577210953,1
2021-09-28,1029480.897787,18627.839191909,0.270762889706783,0.00920851561829612,1
2021-09-29,1136738.597787,18843.487680622,0.2928940030738,0.0647079194212937,1
2021-09-30,1197940.397787,19888.9246098095,0.298899621359564,0.0132779238140556,1
2021-10-01,1303034.397787,21846.517992654,0.307597687851307,0.0384820762651336,1
