agent,window,train_start,train_end,trade_start,trade_end,sharpe_ratio,min_account_value,max_account_value,total_return,volatility (std),max_drawdown,initial_acc_val,final_acc_val,,Average Winners,Average Loosers
DDPG,1,2020-05-04,2020-11-03,2020-11-05,2021-03-03,2.46808773725877,"1,000,000.00","1,876,927.22",0.42743602272,0.0647500459378903,0.274058148751533,1000000,"1,427,436.02",,"1,216,837.08","848,282.68"
DDPG,2,2020-07-04,2021-01-03,2021-01-03,2021-05-03,1.79625677723771,"1,000,000.00","1,303,921.45",0.16398565182,0.0330459870082846,0.222532269558869,1000000,"1,163,985.65",,,
PPO,3,2020-09-04,2021-03-03,2021-03-05,2021-07-03,-1.18550159792241,"569,245.10","1,220,576.55",-0.343965819375324,0.0723142063107688,0.53362605074048,1000000,"656,034.18",,,
DDPG,4,2020-11-04,2021-05-03,2021-05-05,2021-09-03,3.60957885418869,"846,008.72","1,397,566.72",0.390784837772,0.0317696889720688,0.11018528151092,1000000,"1,390,784.84",,,
PPO,5,2021-01-04,2021-07-03,2021-07-06,2021-11-03,2.36089168410045,"816,274.97","1,321,615.57",0.26598716872,0.0382676013938096,0.180529350324677,1000000,"1,265,987.17",,,
A2C,6,2021-03-04,2021-09-03,2021-09-05,2022-01-03,-2.04813012204594,"764,470.41","1,091,910.18",-0.214908114386593,0.0330710402649164,0.299877933835984,1000000,"785,091.89",,,
A2C,7,2021-05-04,2021-11-03,2021-11-05,2022-03-03,-0.0987200494158369,"760,784.21","1,000,000.00",-0.048611833744,0.0375346910602255,0.239215793744,1000000,"951,388.17",,,
DDPG,8,2021-07-04,2022-01-03,2022-01-03,2022-05-03,0.0970096247561894,"962,790.01","1,213,280.81",-0.0138119493300001,0.0276728214773122,0.206457398647617,1000000,"986,188.05",,,
A2C,9,2021-09-04,2022-03-03,2022-03-05,2022-07-03,-4.95007065647179,"478,986.70","1,000,000.00",-0.513546893972006,0.0431949931207843,0.521013303001581,1000000,"486,453.11",,,
A2C,10,2021-11-04,2022-05-03,2022-05-05,2022-09-03,-4.34291579482233,"976,448.97","1,000,000.00",-0.0233948200849021,0.00172881128506762,0.023551029521076,1000000,"976,605.18",,,
DDPG,11,2022-01-04,2022-07-03,2022-07-06,2022-11-03,0.331197480015314,"920,490.04","1,118,921.74",0.00659428339400003,0.0268604482396756,0.177341892917463,1000000,"1,006,594.28",,,
A2C,12,2022-03-04,2022-09-03,2022-09-05,2023-01-03,-2.55725341191867,"999,755.43","1,000,000.00",-0.000244567443260291,3.09686387639156E-05,0.000244567443260341,1000000,"999,755.43",,,
PPO,13,2022-05-04,2022-11-03,2022-11-05,2023-03-03,3.49217352402076,"998,905.04","1,352,829.10",0.308843198104266,0.0279764719518022,0.0972838485376357,1000000,"1,308,843.20",,,
DDPG,14,2022-07-04,2023-01-03,2023-01-03,2023-05-03,2.23073295392093,"910,395.02","1,352,037.76",0.193437342626,0.0293280842374353,0.135873216768145,1000000,"1,193,437.34",,,
PPO,15,2022-09-04,2023-03-03,2023-03-05,2023-07-03,0.753778454834281,"854,738.88","1,036,648.60",0.0366486028529076,0.0208306505183428,0.146643616229589,1000000,"1,036,648.60",,,
PPO,16,2022-11-04,2023-05-03,2023-05-05,2023-09-03,-2.89609545870108,"840,540.23","1,030,478.60",-0.156095623153391,0.0176213954374958,0.184320542364185,1000000,"843,904.38",,,
DDPG,17,2023-01-04,2023-07-03,2023-07-06,2023-11-03,5.19042868297218,"973,821.81","1,366,906.93",0.348164917563,0.0193394789474143,0.0358383581297213,1000000,"1,348,164.92",,,
A2C,18,2023-03-04,2023-09-03,2023-09-05,2024-01-03,3.59831468387721,"999,476.50","1,272,478.03",0.272478028706124,0.0231190707263143,0.0635695055816262,1000000,"1,272,478.03",,,
PPO,19,2023-05-04,2023-11-03,2023-11-05,2024-03-03,4.52587929550866,"895,983.06","1,410,750.72",0.401385975771177,0.0260216689225609,0.117265184493979,1000000,"1,401,385.98",,,
DDPG,20,2023-07-04,2024-01-03,2024-01-04,2024-05-03,-1.2786880373465,"819,692.74","1,120,086.24",-0.1765315134,0.0383076565068867,0.268187832493897,1000000,"823,468.49",,,
A2C,21,2023-09-04,2024-03-03,2024-03-05,2024-07-03,0.0654351723271251,"964,640.61","1,131,940.41",-0.00772684437581306,0.020408715799228,0.147799123671838,1000000,"992,273.16",,,
DDPG,22,2023-11-04,2024-05-03,2024-05-05,2024-09-03,-1.20052743960028,"766,113.82","1,155,147.97",-0.170052508179,0.0380989298601921,0.336782958365031,1000000,"829,947.49",,,
DDPG,23,2024-01-04,2024-07-03,2024-07-06,2024-11-03,3.03713190652858,"931,766.64","1,250,915.29",0.19376672947,0.0201645669651285,0.0751748506006692,1000000,"1,193,766.73",,,
A2C,24,2024-03-04,2024-09-03,2024-09-05,2025-01-03,1.87696703067915,"1,000,000.00","1,228,056.26",0.120285143360733,0.0220491878298059,0.126458953578401,1000000,"1,120,285.14",,,
A2C,25,2024-05-04,2024-11-03,2024-11-05,2025-03-03,1.60018191052566,"1,000,000.00","1,030,675.19",0.0262055359716515,0.00560271246504422,0.0212749390247308,1000000,"1,026,205.54",,,
PPO,26,2024-07-04,2025-01-03,2025-01-03,2025-05-03,1.33911662354583,"864,094.51","1,096,552.72",0.096552719779416,0.0276201710477163,0.145595767358758,1000000,"1,096,552.72",,,
Average: ,,,,,,,"881,362.44","1,206,931.69",,,,,"1,060,910.22",,,
