agent,window,train_start,train_end,trade_start,trade_end,sharpe_ratio,min_account_value,max_account_value,total_return,volatility (std),max_drawdown,initial_acc_val,final_acc_val,,Average Winners,Average Loosers
PPO,1,2020-05-04,2020-11-03,2020-11-05,2021-03-03,2.46808773725877,"1,000,000.00","1,876,927.22",0.42743602272,0.0647500459378903,0.274058148751533,1000000,"1,427,436.02",,"1,259,565.72","817,003.44"
DDPG,2,2020-07-04,2021-01-03,2021-01-03,2021-05-03,2.01326037194006,"1,000,000.00","1,319,877.38",0.193599349437,0.0337520498115911,0.219503193640291,1000000,"1,193,599.35",,,
PPO,3,2020-09-04,2021-03-03,2021-03-05,2021-07-03,-2.17376209745662,"507,545.00","1,032,279.05",-0.427922270714691,0.0644358395779823,0.508325778113237,1000000,"572,077.73",,,
A2C,4,2020-11-04,2021-05-03,2021-05-05,2021-09-03,3.62745852873612,"843,324.26","1,402,558.51",0.398099326427,0.0321353579759715,0.111707100170908,1000000,"1,398,099.33",,,
PPO,5,2021-01-04,2021-07-03,2021-07-06,2021-11-03,1.97193980265744,"762,785.62","1,213,059.39",0.213059390245487,0.0390895769918404,0.201808923281095,1000000,"1,213,059.39",,,
PPO,6,2021-03-04,2021-09-03,2021-09-05,2022-01-03,-0.940894040882404,"811,677.07","1,074,324.24",-0.144151085552,0.0384672618221443,0.24447662924609,1000000,"855,848.91",,,
A2C,7,2021-05-04,2021-11-03,2021-11-05,2022-03-03,0.0654684326841917,"775,827.55","1,000,000.00",-0.0302123307682655,0.0371435022119131,0.224172450655329,1000000,"969,787.67",,,
DDPG,8,2021-07-04,2022-01-03,2022-01-03,2022-05-03,0.0654577433742507,"961,955.63","1,207,055.63",-0.0156853716499999,0.0271021488786982,0.203056093060966,1000000,"984,314.63",,,
PPO,9,2021-09-04,2022-03-03,2022-03-05,2022-07-03,-5.17821569730761,"430,397.56","1,000,000.00",-0.555070917184717,0.046299866738352,0.569602440614298,1000000,"444,929.08",,,
PPO,10,2021-11-04,2022-05-03,2022-05-05,2022-09-03,1.65441032038887,"909,505.19","1,474,572.00",0.182578095466397,0.0425050291480364,0.252470253173102,1000000,"1,182,578.10",,,
PPO,11,2022-01-04,2022-07-03,2022-07-06,2022-11-03,-0.53825050193692,"876,976.95","1,062,726.73",-0.0467701848015438,0.0210168118262935,0.174786029529237,1000000,"953,229.82",,,
PPO,12,2022-03-04,2022-09-03,2022-09-05,2023-01-03,-1.75007620768048,"674,523.11","1,000,000.00",-0.259474437893082,0.0445340094580614,0.325476887664072,1000000,"740,525.56",,,
DDPG,13,2022-05-04,2022-11-03,2022-11-05,2023-03-03,3.5050767547124,"995,400.38","1,354,764.23",0.31071327645,0.0280167139887169,0.097288552079187,1000000,"1,310,713.28",,,
PPO,14,2022-07-04,2023-01-03,2023-01-03,2023-05-03,2.23073295392093,"910,395.02","1,352,037.76",0.193437342626,0.0293280842374353,0.135873216768145,1000000,"1,193,437.34",,,
PPO,15,2022-09-04,2023-03-03,2023-03-05,2023-07-03,1.09464374988921,"871,813.75","1,061,932.03",0.0604541121464104,0.0211928124146552,0.143812476499939,1000000,"1,060,454.11",,,
PPO,16,2022-11-04,2023-05-03,2023-05-05,2023-09-03,-2.74243479575604,"849,787.19","1,040,134.00",-0.147191030178867,0.0174155274170763,0.183002200741192,1000000,"852,808.97",,,
PPO,17,2023-01-04,2023-07-03,2023-07-06,2023-11-03,5.19042868297218,"973,821.81","1,366,906.93",0.348164917563,0.0193394789474143,0.0358383581297213,1000000,"1,348,164.92",,,
A2C,18,2023-03-04,2023-09-03,2023-09-05,2024-01-03,3.67182057853655,"1,000,000.00","1,279,643.87",0.279643870005575,0.0231580212774069,0.0635783122564466,1000000,"1,279,643.87",,,
DDPG,19,2023-05-04,2023-11-03,2023-11-05,2024-03-03,5.37001637960021,"978,524.75","1,514,247.14",0.508941910449,0.0265362683723225,0.116310056195831,1000000,"1,508,941.91",,,
PPO,20,2023-07-04,2024-01-03,2024-01-04,2024-05-03,-1.10940697860998,"857,983.04","1,076,984.54",-0.132033602621111,0.0323830018082477,0.203346936610415,1000000,"867,966.40",,,
PPO,21,2023-09-04,2024-03-03,2024-03-05,2024-07-03,-0.116254465307207,"950,277.77","1,120,828.35",-0.0212715574054257,0.0218954628461497,0.152164766080216,1000000,"978,728.44",,,
PPO,22,2023-11-04,2024-05-03,2024-05-05,2024-09-03,-0.702024464523958,"828,360.77","1,188,868.06",-0.105191938920939,0.0345574814637459,0.303235746702126,1000000,"894,808.06",,,
PPO,23,2024-01-04,2024-07-03,2024-07-06,2024-11-03,1.46917059194728,"970,066.62","1,180,277.68",0.0919471734883595,0.0227053314052417,0.116013408476906,1000000,"1,091,947.17",,,
PPO,24,2024-03-04,2024-09-03,2024-09-05,2025-01-03,3.40405912619127,"1,000,000.00","1,487,816.58",0.320284549757783,0.0287532552511496,0.144760065722822,1000000,"1,320,284.55",,,
DDPG,25,2024-05-04,2024-11-03,2024-11-05,2025-03-03,-2.79789886603945,"606,919.40","1,008,245.78",-0.310984042824,0.039304591931033,0.39804419625151,1000000,"689,015.96",,,
DDPG,26,2024-07-04,2025-01-03,2025-01-03,2025-05-03,1.4702265093336,"879,348.83","1,105,560.75",0.105560749822,0.0266160588852699,0.14211746394334,1000000,"1,105,560.75",,,
,,,,,,,"854,892.97","1,223,139.53",,,,,"1,055,306.20",,,
