agent,window,train_start,train_end,trade_start,trade_end,sharpe_ratio,min_account_value,max_account_value,total_return,volatility (std),max_drawdown,initial_acc_val,final_acc_val,,,
A2C,9,2021-09-04,2022-03-03,2022-03-05,2022-07-03,-4.95373843287758,477296.6,1000000,-0.52,0.0433817502790645,0.522703395855,1000000,484562.74,,,
DDPG,3,2020-09-04,2021-03-03,2021-03-05,2021-07-03,-2.05944920114047,592227.48,1110543,-0.36,0.0562248774805692,0.466722603574265,1000000,636354.31,,,
A2C,25,2024-05-04,2024-11-03,2024-11-05,2025-03-03,-2.10697719641424,666930.18,1043802.18,-0.24,0.037810441601715,0.361056919358634,1000000,757146.18,,avg final acc val,1061825
PPO,6,2021-03-04,2021-09-03,2021-09-05,2022-01-03,-2.23685496961713,753556.68,1099040.05,-0.23,0.032806907527944,0.314350116919915,1000000,771876.12,,,
A2C,12,2022-03-04,2022-09-03,2022-09-05,2023-01-03,-1.97122552637818,764950.73,1000000,-0.19,0.0305272618477547,0.235049266866924,1000000,807192.04,,avg negative,788924.93
DDPG,16,2022-11-04,2023-05-03,2023-05-05,2023-09-03,-2.96756374642812,838805.04,1022385.26,-0.16,0.0175740695453899,0.179560707333323,1000000,840931.04,,avg positive,1232387.54
PPO,20,2023-07-04,2024-01-03,2024-01-04,2024-05-03,-1.20454877163108,844519.94,1106616.62,-0.15,0.0341689719608592,0.236845058446141,1000000,851027.66,,,
PPO,11,2022-01-04,2022-07-03,2022-07-06,2022-11-03,-1.20425740658192,699236.97,1000000,-0.15,0.0339372514329145,0.300763025373315,1000000,851961.26,,,
A2C,7,2021-05-04,2021-11-03,2021-11-05,2022-03-03,-0.166620914342635,758804.71,1003932.44,-0.06,0.0396269203982669,0.244167557351808,1000000,938535.81,,,
A2C,10,2021-11-04,2022-05-03,2022-05-05,2022-09-03,-0.30114187599348,920094,1162700.92,-0.05,0.0287286024912886,0.199399394127807,1000000,949662.11,,,
PPO,23,2024-01-04,2024-07-03,2024-07-06,2024-11-03,0.463506055355595,907904.17,1120749.61,0.02,0.0257916080918513,0.12545981601593,1000000,1017656.17,,,
PPO,22,2023-11-04,2024-05-03,2024-05-05,2024-09-03,0.597609459314216,943008.82,1193800.51,0.03,0.0306490483448436,0.210078387490037,1000000,1030654.12,,,
A2C,8,2021-07-04,2022-01-03,2022-01-03,2022-05-03,0.656978754900163,985240.17,1261278.53,0.03,0.0275694619313193,0.20401806977235,1000000,1034409.97,,,
PPO,15,2022-09-04,2023-03-03,2023-03-05,2023-07-03,1.1006543750129,871513.83,1063070.69,0.06,0.021241450630368,0.143209516522118,1000000,1060985.75,,,
PPO,26,2024-07-04,2025-01-03,2025-01-03,2025-05-03,1.18724797775391,852774.68,1082055.25,0.08,0.02743349423029,0.143521391128605,1000000,1082055.25,,,
PPO,21,2023-09-04,2024-03-03,2024-03-05,2024-07-03,1.21530120639583,924604.25,1248537.05,0.1,0.0322322462640141,0.138783867237857,1000000,1097218.65,,,
A2C,17,2023-01-04,2023-07-03,2023-07-06,2023-11-03,1.97917122360412,944178.35,1132602.29,0.1,0.0177292742847082,0.105096326467467,1000000,1104287.82,,,
DDPG,2,2020-07-04,2021-01-03,2021-01-03,2021-05-03,2.01326037194006,1000000,1319877.38,0.19,0.0337520498115911,0.219503193640291,1000000,1193599.35,,,
A2C,14,2022-07-04,2023-01-03,2023-01-03,2023-05-03,2.95643114894112,901578.12,1362372.12,0.28,0.0299661577559207,0.105390825757273,1000000,1280857.13,,,
PPO,18,2023-03-04,2023-09-03,2023-09-05,2024-01-03,3.69168502492507,1000000,1282793.65,0.28,0.023261545967438,0.0647247669305341,1000000,1282793.65,,,
A2C,5,2021-01-04,2021-07-03,2021-07-06,2021-11-03,2.73325785194206,829251.29,1324989.58,0.3,0.0356809531426073,0.135442371520708,1000000,1301926.12,,,
PPO,24,2024-03-04,2024-09-03,2024-09-05,2025-01-03,4.04188086745481,1000000,1520975.34,0.39,0.0282158005452423,0.12586243773845,1000000,1389061.45,,,
DDPG,13,2022-05-04,2022-11-03,2022-11-05,2023-03-03,4.50329232040583,998785.35,1473204.12,0.39,0.0260590652284194,0.0851451121315918,1000000,1391746.56,,,
PPO,19,2023-05-04,2023-11-03,2023-11-05,2024-03-03,5.45218911585749,949882.74,1473634.36,0.47,0.024225751405092,0.110878784122145,1000000,1466870.01,,,
PPO,4,2020-11-04,2021-05-03,2021-05-05,2021-09-03,3.97585945802718,817001.24,1480063.19,0.48,0.0342324753478246,0.123642531497329,1000000,1480063.19,,,
PPO,1,2020-05-04,2020-11-03,2020-11-05,2021-03-03,3.01883243003574,976150.97,1801450.83,0.5,0.0546537502431895,0.21997758014869,1000000,1504015.52,,,
