agent,window,train_start,train_end,trade_start,trade_end,sharpe_ratio,min_account_value,max_account_value,total_return,volatility (std),max_drawdown,initial_acc_val,final_acc_val,,Average Winners,Average Loosers
PPO,1,2020-05-04,2020-11-03,2020-11-05,2021-03-03,2.71759561579566,960862.788223497,1747458.32874193,0.430645182421855,0.0546473239427068,0.231287803342827,1000000,"1,430,645.18",,1245379.07,841983.3
A2C,2,2020-07-04,2021-01-03,2021-01-03,2021-05-03,4.81266086306751,997791.589403466,1672218.75416903,0.665844231646374,0.037151076089528,0.131854024482375,1000000,"1,665,844.23",,,
PPO,3,2020-09-04,2021-03-03,2021-03-05,2021-07-03,-2.05944920114047,592227.479269,1110542.999269,-0.363645690731,0.0562248774805692,0.466722603574265,1000000,"636,354.31",,,
A2C,4,2020-11-04,2021-05-03,2021-05-05,2021-09-03,3.62745852873612,843324.256427,1402558.506427,0.398099326427,0.0321353579759715,0.111707100170908,1000000,"1,398,099.33",,,
PPO,5,2021-01-04,2021-07-03,2021-07-06,2021-11-03,1.6054699538212,712313.617173138,1181927.37946866,0.181927379468656,0.0464399364940765,0.257374507451202,1000000,"1,181,927.38",,,
A2C,6,2021-03-04,2021-09-03,2021-09-05,2022-01-03,-2.11204490579099,762563.841044888,1102842.70961169,-0.218551696213415,0.0328491021413774,0.30854705353823,1000000,"781,448.30",,,
PPO,7,2021-05-04,2021-11-03,2021-11-05,2022-03-03,-0.598446086119721,714597.924647355,1000000,-0.126638017501579,0.0445348047957911,0.285402075352646,1000000,"873,361.98",,,
A2C,8,2021-07-04,2022-01-03,2022-01-03,2022-05-03,0.204542085121427,973609.419948632,1225137.04871931,-0.00344769068659179,0.0262576311441663,0.20530570766235,1000000,"996,552.31",,,
PPO,9,2021-09-04,2022-03-03,2022-03-05,2022-07-03,-4.27685625468681,530924.845053195,1000000,-0.46084275023922,0.0424372839331432,0.469075154946805,1000000,"539,157.25",,,
DDPG,10,2021-11-04,2022-05-03,2022-05-05,2022-09-03,0.167464485715317,954623.054421,1211756.714421,-0.011087165579,0.0302153653066017,0.200783092104634,1000000,"988,912.83",,,
PPO,11,2022-01-04,2022-07-03,2022-07-06,2022-11-03,0.639821759856652,933384.276179533,1138998.79687288,0.0307736163072068,0.0232834774199472,0.180522157931916,1000000,"1,030,773.62",,,
A2C,12,2022-03-04,2022-09-03,2022-09-05,2023-01-03,2.51825054548982,1000000,1001388.76677432,0.00137129881093134,0.000176327651180538,1.74437381044068E-05,1000000,"1,001,371.30",,,
A2C,13,2022-05-04,2022-11-03,2022-11-05,2023-03-03,4.17337040428537,1000000,1423209.04426151,0.358582720386356,0.0261967455311501,0.0817367884173599,1000000,"1,358,582.72",,,
PPO,14,2022-07-04,2023-01-03,2023-01-03,2023-05-03,2.23073295392093,910395.022626,1352037.762626,0.193437342626,0.0293280842374353,0.135873216768145,1000000,"1,193,437.34",,,
A2C,15,2022-09-04,2023-03-03,2023-03-05,2023-07-03,0.529493363133196,870584.803409,1021586.113409,0.0215861134090001,0.0205556938193083,0.132933120583277,1000000,"1,021,586.11",,,
A2C,16,2022-11-04,2023-05-03,2023-05-05,2023-09-03,-2.95233151916986,839795.801315261,1027340.38481338,-0.157324345108346,0.0174578731355909,0.182553500544208,1000000,"842,675.65",,,
A2C,17,2023-01-04,2023-07-03,2023-07-06,2023-11-03,1.93478667055184,941952.895105,1129762.075105,0.101539985105,0.0177159880424355,0.105016784165793,1000000,"1,101,539.99",,,
PPO,18,2023-03-04,2023-09-03,2023-09-05,2024-01-03,2.90330506959861,1000000,1281171.951948,0.268792571948,0.0293161374640829,0.0790766452902428,1000000,"1,268,792.57",,,
A2C,19,2023-05-04,2023-11-03,2023-11-05,2024-03-03,5.37001637960021,978524.750449,1514247.140449,0.508941910449,0.0265362683723225,0.116310056195831,1000000,"1,508,941.91",,,
DDPG,20,2023-07-04,2024-01-03,2024-01-04,2024-05-03,-1.2786880373465,819692.7366,1120086.2366,-0.1765315134,0.0383076565068867,0.268187832493897,1000000,"823,468.49",,,
DDPG,21,2023-09-04,2024-03-03,2024-03-05,2024-07-03,-0.134834329256269,948980.509541,1120297.959541,-0.0224948804589999,0.0218887255993472,0.152921326456928,1000000,"977,505.12",,,
A2C,22,2023-11-04,2024-05-03,2024-05-05,2024-09-03,0.59813184549216,942608.871253,1193146.851253,0.0307192692939999,0.0307206728440557,0.209980841618024,1000000,"1,030,719.27",,,
DDPG,23,2024-01-04,2024-07-03,2024-07-06,2024-11-03,3.03713190652858,931766.63947,1250915.28947,0.19376672947,0.0201645669651285,0.0751748506006692,1000000,"1,193,766.73",,,
PPO,24,2024-03-04,2024-09-03,2024-09-05,2025-01-03,3.43781803795931,1000000,1667864.01164064,0.440408242910048,0.0384321496110979,0.179627006694333,1000000,"1,440,408.24",,,
A2C,25,2024-05-04,2024-11-03,2024-11-05,2025-03-03,-0.313152807183894,860197.6795,1079134.9795,-0.0396032205,0.0248802654110362,0.202882219702897,1000000,"960,396.78",,,
PPO,26,2024-07-04,2025-01-03,2025-01-03,2025-05-03,1.35791525701818,866779.121104,1099629.261104,0.0996292611040002,0.0280842521912372,0.155458513197779,1000000,"1,099,629.26",,,
,,,,,,,,,,,,,"1,090,226.85",,,
