agent,window,train_start,train_end,trade_start,trade_end,sharpe_ratio,min_account_value,max_account_value,total_return,volatility (std),max_drawdown,initial_acc_val,final_acc_val,,,Avg.Winners,Avg.Loosers, Loosers, Winners,
PPO,1,2020-05-04,2020-11-03,2021-03-05,2021-07-03,-1.66724032648441,427880.23387,1102643.02387,-52.87%,0.093680964956828,0.611950355094754,1000000,471284.68,,,1241684.3,773906.03,10,14,
PPO,2,2020-07-04,2021-01-03,2021-05-03,2021-08-31,3.67862804889495,834212.42239145,1552521.08665479,50.48%,0.04016199503586,0.158336287838715,1000000,1504805.03,,,,,,,
PPO,3,2020-09-04,2021-03-03,2021-07-03,2021-11-01,2.25738512706489,831700.961931241,1345084.48815277,25.21%,0.0377248275294139,0.182745089611986,1000000,1252070.94,,,,,,,
PPO,4,2020-11-04,2021-05-03,2021-09-02,2021-12-31,-0.550291562618076,888262.743642037,1150270.16090404,-9.91%,0.0373120170082819,0.227779026325501,1000000,900863.44,,,,,,,
A2C,5,2021-01-04,2021-07-03,2021-11-03,2022-03-03,-1.38998605920052,684740.763173028,1000000,-20.35%,0.0413803051935708,0.315259236826972,1000000,796463.32,,,,,,,
DDPG,6,2021-03-04,2021-09-03,2022-01-03,2022-05-01,0.346951929729495,965698.41376,1203506.41376,0.76%,0.026551303075749,0.1627391410305,1000000,1007648.81,,,,,,,
A2C,7,2021-05-04,2021-11-03,2022-03-05,2022-07-03,-5.30571821573384,338426.61824,1000000,-63.71%,0.0557303781940279,0.66157338176,1000000,362865.82,,,,,,,
A2C,8,2021-07-04,2022-01-03,2022-05-03,2022-08-31,2.86570647931977,1000000,1505990.0186,28.98%,0.0321959491044504,0.15905417502214,1000000,1289814.02,,,,,,,
A2C,9,2021-09-04,2022-03-03,2022-07-03,2022-11-01,0.457229555435415,915315.091418,1111924.631418,1.75%,0.0266139706176341,0.176819124646308,1000000,1017493.39,,,,,,,
A2C,10,2021-11-04,2022-05-03,2022-09-02,2022-12-31,-1.5979773321949,713735.11207,1094670.91207,-24.12%,0.0441214295500934,0.347991159534566,1000000,758805.31,,,,,,,
A2C,11,2022-01-04,2022-07-03,2022-11-03,2023-03-03,4.66390834434013,1000000,1503325.89390662,42.01%,0.0257249062168675,0.085087493084541,1000000,1420054.08,,,,,,,
PPO,12,2022-03-04,2022-09-03,2023-01-03,2023-05-01,2.83716166478744,940004.375160165,1249812.64839582,21.00%,0.024536151865281,0.0846606207493991,1000000,1210042.9,,,,,,,
PPO,13,2022-05-04,2022-11-03,2023-03-05,2023-07-03,-3.32199769982878,712098.41056,1008237.61056,-23.88%,0.0247516349303287,0.29371965189388,1000000,761197.61,,,,,,,
PPO,14,2022-07-04,2023-01-03,2023-05-03,2023-08-31,-2.04063783732015,851190.939544471,1027854.95035278,-10.67%,0.0166029925104703,0.171876402159345,1000000,893334.04,,,,,,,
A2C,15,2022-09-04,2023-03-03,2023-07-03,2023-11-01,1.54965823900812,959668.21053,1069156.81053,5.84%,0.0126282941586371,0.0573301309932403,1000000,1058395.11,,,,,,,
A2C,16,2022-11-04,2023-05-03,2023-09-02,2023-12-31,3.68939130084837,989371.22027,1421929.42027,39.12%,0.0315828131680387,0.0913232387971427,1000000,1391220.42,,,,,,,
PPO,17,2023-01-04,2023-07-03,2023-11-03,2024-03-02,5.27389563492589,933530.670236569,1415371.84827935,41.28%,0.0221501858350578,0.0893208135987293,1000000,1412828.46,,,,,,,
PPO,18,2023-03-04,2023-09-03,2024-01-03,2024-05-01,2.78082161415035,941847.34424,1511862.74424,38.21%,0.0451194203641329,0.197521237385948,1000000,1382140.04,,,,,,,
PPO,19,2023-05-04,2023-11-03,2024-03-04,2024-07-02,0.0531907948232597,949736.491794211,1199622.99019352,-1.17%,0.0233035653896845,0.190075295127922,1000000,988277.33,,,,,,,
DDPG,20,2023-07-04,2024-01-03,2024-05-03,2024-08-31,-0.472640569020437,800204.34877,1038495.24877,-7.75%,0.0332393481430605,0.229457862500799,1000000,922537.35,,,,,,,
A2C,21,2023-09-04,2024-03-03,2024-07-03,2024-11-01,2.88263428187852,944056.990711798,1228238.09957713,17.94%,0.0194949735767073,0.0856539512579744,1000000,1179436.04,,,,,,,
A2C,22,2023-11-04,2024-05-03,2024-09-02,2024-12-31,2.38868057951534,963973.65136,1307925.33136,23.06%,0.0321419055004615,0.133274274777404,1000000,1230561.49,,,,,,,
PPO,23,2024-01-04,2024-07-03,2024-11-03,2025-03-03,-1.20847461326958,806469.565625,1032685.615625,-11.66%,0.0273495199492525,0.219056067574922,1000000,883431.42,,,,,,,
A2C,24,2024-03-04,2024-09-03,2025-01-03,2025-05-01,0.600876771537607,909985.777488,1091235.217488,2.71%,0.0237326960429418,0.131219811920682,1000000,1027069.46,,,,,,,
,,,,,,,,,,,,,,,,,,,,Rolling window_1: 2020-05-04 to 2021-07-03
