agent,window,train_start,train_end,trade_start,trade_end,sharpe_ratio,min_account_value,max_account_value,total_return,volatility (std),max_drawdown,initial_acc_val,final_acc_val,,
PPO,1,2020-05-04,2020-11-03,2021-03-05,2021-07-03,-1.82834606018948,"411,417.97","1,059,864.60",-0.546945333966886,0.0929907401985865,0.6118202579508,1000000,"453,054.67",,Rolling window_1: 2020-05-04 to 2021-07-03
PPO,2,2020-07-04,2021-01-03,2021-05-03,2021-08-31,4.31999963143294,"920,776.91","1,751,865.66",0.602565566123,0.0386889300264463,0.125321635955734,1000000,"1,602,565.57",,[EVAL] Sharpe Debug: No volatility or insufficient data.
DDPG,3,2020-09-04,2021-03-03,2021-07-03,2021-11-01,1.22219199148308,"723,000.00","1,154,430.39",0.120061909998,0.0457135762546089,0.267773434135371,1000000,"1,120,061.91",, Rolling window_2: 2020-07-04 to 2021-08-31
DDPG,4,2020-11-04,2021-05-03,2021-09-02,2021-12-31,-0.137501156090694,"933,181.65","1,185,188.65",-0.0595663506899998,0.0392328704133497,0.212630284762443,1000000,"940,433.65",,[EVAL] Sharpe Debug: No volatility or insufficient data.
PPO,5,2021-01-04,2021-07-03,2021-11-03,2022-03-03,-1.05089425221615,"704,584.34","1,000,000.00",-0.154740716347691,0.0385183721469206,0.295415660033504,1000000,"845,259.28",, Rolling window_3: 2020-09-04 to 2021-11-01
PPO,6,2021-03-04,2021-09-03,2022-01-03,2022-05-01,0.346951929729495,"965,698.41","1,203,506.41",0.00764881376000015,0.026551303075749,0.1627391410305,1000000,"1,007,648.81",, Rolling window_4: 2020-11-04 to 2021-12-31
PPO,7,2021-05-04,2021-11-03,2022-03-05,2022-07-03,-4.35661532340492,"520,556.92","1,000,000.00",-0.463946243727868,0.0421447712501384,0.479443082255205,1000000,"536,053.76",, Rolling window_5: 2021-01-04 to 2022-03-03
PPO,8,2021-07-04,2022-01-03,2022-05-03,2022-08-31,2.86570647931977,"1,000,000.00","1,505,990.02",0.2898140186,0.0321959491044504,0.15905417502214,1000000,"1,289,814.02",, Rolling window_6: 2021-03-04 to 2022-05-01
A2C,9,2021-09-04,2022-03-03,2022-07-03,2022-11-01,0.456857549813929,"915,283.63","1,111,893.17",0.0174619262227318,0.0266111884878709,0.176824128407869,1000000,"1,017,461.93",, Rolling window_7: 2021-05-04 to 2022-07-03
DDPG,10,2021-11-04,2022-05-03,2022-09-02,2022-12-31,-1.5979773321949,"713,735.11","1,094,670.91",-0.24119468793,0.0441214295500934,0.347991159534566,1000000,"758,805.31",,[EVAL] Sharpe Debug: No volatility or insufficient data.
A2C,11,2022-01-04,2022-07-03,2022-11-03,2023-03-03,4.53149754884014,"1,000,000.00","1,483,440.47",0.401330948847452,0.0254991307146885,0.0846329142534068,1000000,"1,401,330.95",, Rolling window_8: 2021-07-04 to 2022-08-31
DDPG,12,2022-03-04,2022-09-03,2023-01-03,2023-05-01,3.27895286591488,"903,282.96","1,359,992.38",0.303639604749,0.0296304150063896,0.105324744172326,1000000,"1,303,639.60",, Rolling window_9: 2021-09-04 to 2022-11-01
PPO,13,2022-05-04,2022-11-03,2023-03-05,2023-07-03,-3.25674181600135,"716,322.22","1,000,000.00",-0.23429238214,0.0246738419121134,0.28367778214,1000000,"765,707.62",, Rolling window_10: 2021-11-04 to 2022-12-31
DDPG,14,2022-07-04,2023-01-03,2023-05-03,2023-08-31,-1.5084300585481,"853,478.42","1,038,837.62",-0.0921711803999999,0.018589476030924,0.178429425834012,1000000,"907,828.82",, Rolling window_11: 2022-01-04 to 2023-03-03
DDPG,15,2022-09-04,2023-03-03,2023-07-03,2023-11-01,1.54965823900812,"959,668.21","1,069,156.81",0.05839511053,0.0126282941586371,0.0573301309932403,1000000,"1,058,395.11",, Rolling window_12: 2022-03-04 to 2023-05-01
PPO,16,2022-11-04,2023-05-03,2023-09-02,2023-12-31,3.15354030331735,"998,093.41","1,260,642.07",0.22323202709078,0.022186695269466,0.0606728531451979,1000000,"1,223,232.03",, Rolling window_13: 2022-05-04 to 2023-07-03
DDPG,17,2023-01-04,2023-07-03,2023-11-03,2024-03-02,4.64604242092803,"938,157.25","1,457,010.29",0.457010293584,0.0278691029884836,0.116219412275715,1000000,"1,457,010.29",, Rolling window_14: 2022-07-04 to 2023-08-31
A2C,18,2023-03-04,2023-09-03,2024-01-03,2024-05-01,0.102799896217471,"977,421.86","1,170,103.25",-0.0225781387142288,0.0343011512860784,0.164670413233024,1000000,"977,421.86",, Rolling window_15: 2022-09-04 to 2023-11-01
A2C,19,2023-05-04,2023-11-03,2024-03-04,2024-07-02,-0.00636198632283634,"966,010.33","1,211,412.63",-0.0173002661,0.0242796601867223,0.20215357933952,1000000,"982,699.73",, Rolling window_16: 2022-11-04 to 2023-12-31
A2C,20,2023-07-04,2024-01-03,2024-05-03,2024-08-31,-0.156619527089519,"842,895.78","1,085,699.84",-0.0416444809451103,0.0309000510591631,0.223638292549394,1000000,"958,355.52",,[EVAL] Sharpe Debug: No volatility or insufficient data.
PPO,21,2023-09-04,2024-03-03,2024-07-03,2024-11-01,2.99089327860619,"944,368.04","1,235,476.45",0.187354639349194,0.0195042028458618,0.0832537769570067,1000000,"1,187,354.64",, Rolling window_17: 2023-01-04 to 2024-03-02
