agent,window,train_start,train_end,trade_start,trade_end,sharpe_ratio,min_account_value,max_account_value,total_return,volatility (std),max_drawdown,initial_acc_val,final_acc_val,,,Avg.Winners,Avg.Loosers, Loosers, Winners
DDPG,1,2020-05-04,2020-11-03,2021-03-05,2021-07-03,-1.6672,427880.23,1102643.02,-0.5287,0.0937,0.612,1000000,471284.68,,,1258232.14,820180.3,12,12
DDPG,2,2020-07-04,2021-01-03,2021-05-03,2021-08-31,4.32,920776.91,1751865.66,0.6026,0.0387,0.1253,1000000,1602565.57,,,,,,
PPO,3,2020-09-04,2021-03-03,2021-07-03,2021-11-01,1.8504,787853.09,1241499.96,0.1992,0.0392,0.2166,1000000,1199163.44,,,,,,
DDPG,4,2020-11-04,2021-05-03,2021-09-02,2021-12-31,-0.1375,933181.65,1185188.65,-0.0596,0.0392,0.2126,1000000,940433.65,,,,,,
PPO,5,2021-01-04,2021-07-03,2021-11-03,2022-03-03,-1.5051,636800.38,1000000,-0.2311,0.0442,0.3632,1000000,768944.28,,,"AVERAGEIF($N$2:$N$25,"">1000000"",$N$2:$N$25)",,,
PPO,6,2021-03-04,2021-09-03,2022-01-03,2022-05-01,-0.1648,959702.89,1214467.19,-0.0352,0.028,0.2056,1000000,964823.19,,,,,,
PPO,7,2021-05-04,2021-11-03,2022-03-05,2022-07-03,-3.9335,481110.7,1000000,-0.4814,0.048,0.5189,1000000,518565.09,,,,,,
PPO,8,2021-07-04,2022-01-03,2022-05-03,2022-08-31,2.6541,973261.11,1858698,0.4287,0.0537,0.2807,1000000,1428652.48,,,,,,
DDPG,9,2021-09-04,2022-03-03,2022-07-03,2022-11-01,0.4572,915315.09,1111924.63,0.0175,0.0266,0.1768,1000000,1017493.39,,,,,,
PPO,10,2021-11-04,2022-05-03,2022-09-02,2022-12-31,-1.8024,763647.66,1038445.27,-0.1946,0.033,0.2646,1000000,805437.05,,,,,,
DDPG,11,2022-01-04,2022-07-03,2022-11-03,2023-03-03,4.5539,1000000,1481892.1,0.4007,0.0253,0.0843,1000000,1400656.18,,,,,,
A2C,12,2022-03-04,2022-09-03,2023-01-03,2023-05-01,2.2852,910395.02,1352046.94,0.1935,0.0296,0.1306,1000000,1193450.19,,,,,,
PPO,13,2022-05-04,2022-11-03,2023-03-05,2023-07-03,-3.3574,710781.89,1003507.06,-0.2402,0.0247,0.2917,1000000,759775.27,,,,,,
DDPG,14,2022-07-04,2023-01-03,2023-05-03,2023-08-31,-1.5084,853478.42,1038837.62,-0.0922,0.0186,0.1784,1000000,907828.82,,,,,,
A2C,15,2022-09-04,2023-03-03,2023-07-03,2023-11-01,5.0771,974585.06,1337729.88,0.3377,0.0189,0.0367,1000000,1337729.88,,,,,,
A2C,16,2022-11-04,2023-05-03,2023-09-02,2023-12-31,3.3864,983487.2,1325098.2,0.2839,0.0258,0.0797,1000000,1283912.31,,,,,,
DDPG,17,2023-01-04,2023-07-03,2023-11-03,2024-03-02,3.8732,935539.83,1327784.83,0.3047,0.0236,0.0762,1000000,1304730.43,,,,,,
