agent,window,train_start,train_end,trade_start,trade_end,sharpe_ratio,min_account_value,max_account_value,total_return,volatility (std),max_drawdown,initial_acc_val,final_acc_val,,Average Winners,Average Loosers
A2C,1,2020-05-04,2020-11-03,2020-11-05,2021-03-03,3.0241,"948,940.69","1,787,092.21",0.5087,0.0549,0.2130,"1,000,000.00","1,508,676.70",,1290105.99,794089.4
A2C,2,2020-07-04,2021-01-03,2021-01-03,2021-05-03,5.5392,"981,763.43","2,711,079.05",1.7073,0.0658,0.1851,"1,000,000.00","2,707,291.07",,,
PPO,3,2020-09-04,2021-03-03,2021-03-05,2021-07-03,-1.6672,"427,880.23","1,102,643.02",-0.5287,0.0937,0.6120,"1,000,000.00","471,284.68",,,
DDPG,4,2020-11-04,2021-05-03,2021-05-05,2021-09-03,3.6275,"843,324.26","1,402,558.51",0.3981,0.0321,0.1117,"1,000,000.00","1,398,099.33",,,
A2C,5,2021-01-04,2021-07-03,2021-07-06,2021-11-03,1.4218,"695,741.91","1,146,873.11",0.1469,0.0445,0.2728,"1,000,000.00","1,146,873.11",,,
DDPG,6,2021-03-04,2021-09-03,2021-09-05,2022-01-03,-2.2439,"754,198.59","1,098,820.51",-0.2273,0.0326,0.3136,"1,000,000.00","772,678.27",,,
DDPG,7,2021-05-04,2021-11-03,2021-11-05,2022-03-03,-0.0987,"760,784.21","1,000,000.00",-0.0486,0.0375,0.2392,"1,000,000.00","951,388.17",,,
A2C,8,2021-07-04,2022-01-03,2022-01-03,2022-05-03,0.7394,"965,698.41","1,203,506.41",0.0408,0.0265,0.1627,"1,000,000.00","1,040,781.61",,,
PPO,9,2021-09-04,2022-03-03,2022-03-05,2022-07-03,-3.4479,"518,939.45","1,000,000.00",-0.4391,0.0476,0.4811,"1,000,000.00","560,881.51",,,
A2C,10,2021-11-04,2022-05-03,2022-05-05,2022-09-03,2.1707,"955,713.62","1,424,436.02",0.2022,0.0313,0.1591,"1,000,000.00","1,202,204.42",,,
PPO,11,2022-01-04,2022-07-03,2022-07-06,2022-11-03,0.3709,"923,979.50","1,119,758.15",0.0100,0.0268,0.1748,"1,000,000.00","1,009,959.94",,,
PPO,12,2022-03-04,2022-09-03,2022-09-05,2023-01-03,-2.3850,"651,999.31","1,000,000.00",-0.3085,0.0426,0.3480,"1,000,000.00","691,479.31",,,
A2C,13,2022-05-04,2022-11-03,2022-11-05,2023-03-03,2.6212,"992,924.61","1,298,072.27",0.1887,0.0242,0.1092,"1,000,000.00","1,188,699.72",,,
PPO,14,2022-07-04,2023-01-03,2023-01-03,2023-05-03,2.9584,"901,858.28","1,362,668.27",0.2813,0.0300,0.1053,"1,000,000.00","1,281,275.11",,,
PPO,15,2022-09-04,2023-03-03,2023-03-05,2023-07-03,1.0980,"871,253.91","1,062,810.45",0.0607,0.0212,0.1424,"1,000,000.00","1,060,732.79",,,
DDPG,16,2022-11-04,2023-05-03,2023-05-05,2023-09-03,-1.9056,"867,551.72","1,055,972.82",-0.1160,0.0188,0.1784,"1,000,000.00","884,043.72",,,
A2C,17,2023-01-04,2023-07-03,2023-07-06,2023-11-03,1.9793,"944,168.83","1,132,615.57",0.1043,0.0177,0.1051,"1,000,000.00","1,104,305.10",,,
PPO,18,2023-03-04,2023-09-03,2023-09-05,2024-01-03,4.0550,"996,489.19","1,293,388.34",0.2934,0.0217,0.0618,"1,000,000.00","1,293,388.34",,,
DDPG,19,2023-05-04,2023-11-03,2023-11-05,2024-03-03,5.3700,"978,524.75","1,514,247.14",0.5089,0.0265,0.1163,"1,000,000.00","1,508,941.91",,,
A2C,20,2023-07-04,2024-01-03,2024-01-04,2024-05-03,0.6951,"937,205.01","1,231,060.13",0.0403,0.0344,0.1722,"1,000,000.00","1,040,327.14",,,
DDPG,21,2023-09-04,2024-03-03,2024-03-05,2024-07-03,0.0971,"968,149.82","1,214,128.52",-0.0097,0.0243,0.2022,"1,000,000.00","990,340.82",,,
PPO,22,2023-11-04,2024-05-03,2024-05-05,2024-09-03,0.7185,"945,617.30","1,199,720.63",0.0422,0.0298,0.2118,"1,000,000.00","1,042,202.76",,,
DDPG,23,2024-01-04,2024-07-03,2024-07-06,2024-11-03,2.0727,"959,732.45","1,195,224.85",0.1200,0.0194,0.1059,"1,000,000.00","1,120,009.05",,,
A2C,24,2024-03-04,2024-09-03,2024-09-05,2025-01-03,2.7856,"1,000,000.00","1,356,671.03",0.2780,0.0319,0.1333,"1,000,000.00","1,278,033.80",,,
A2C,25,2024-05-04,2024-11-03,2024-11-05,2025-03-03,-1.3544,"798,352.19","1,022,330.06",-0.1254,0.0278,0.2191,"1,000,000.00","874,552.58",,,
PPO,26,2024-07-04,2025-01-03,2025-01-03,2025-05-03,-0.3335,"830,936.98","1,033,176.06",-0.0498,0.0278,0.1957,"1,000,000.00","950,155.52",,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,Average Winners,Average Loosers,,,,
,,,,,,,,,,,"1,290,105.99","794,089.40",,,,
