date,account_value,reward,daily_volatility,trade_count,fear_greed,fear_greed_norm,fear_greed_mapped,window
2020-11-05,"1,000,000.00",0.00,0.00,0,-1,-1,0,1
2021-01-05,"1,055,704.82",5.57,"15,740.86",1,93,0.86,2,1
2021-01-06,"1,160,211.67",10.45,"17,045.11",1,95,0.9,2,1
2021-01-07,"1,176,007.66",1.58,"18,295.94",0,91,0.82,2,1
2021-01-08,"1,168,381.61",-0.76,"18,840.21",0,93,0.86,2,1
2021-01-09,"1,225,093.29",5.67,"18,593.48",0,93,0.86,2,1
2021-01-10,"1,204,208.95",-2.09,"17,685.39",0,94,0.88,2,1
2021-01-11,"1,043,645.85",-16.06,"16,430.20",0,90,0.8,2,1
2021-01-12,"1,008,270.11",-3.54,"15,800.77",0,84,0.68,2,1
2021-01-13,"1,084,816.48",7.65,"17,346.97",0,78,0.56,2,1
2021-01-14,"1,182,482.56",9.77,"18,159.23",0,83,0.66,2,1
2021-01-15,"1,121,913.14",-6.06,"17,041.61",0,88,0.76,2,1
2021-01-16,"1,178,847.97",5.69,"16,675.64",0,84,0.68,2,1
2021-01-17,"1,183,291.35",0.44,"16,595.54",0,79,0.58,2,1
2021-01-18,"1,208,249.77",2.50,"16,968.07",0,79,0.58,2,1
2021-01-19,"1,310,874.92",10.26,"16,596.36",0,80,0.6,2,1
2021-01-20,"1,322,039.97",1.12,"16,394.34",0,78,0.56,2,1
2021-01-21,"1,066,639.25",-25.54,"14,278.64",0,75,0.5,2,1
2021-01-22,"1,183,439.63",11.68,"15,238.10",0,40,-0.2,-1,1
2021-01-23,"1,184,380.48",0.09,"14,829.31",0,74,0.48,1,1
2021-01-24,"1,336,936.82",15.26,"14,879.61",0,70,0.4,1,1
2021-01-25,"1,265,292.05",-7.16,"14,893.40",0,74,0.48,1,1
2021-01-26,"1,311,458.46",4.62,"14,983.38",0,71,0.42,1,1
2021-01-27,"1,189,593.19",-12.19,"14,021.60",0,78,0.56,2,1
2021-01-28,"1,276,631.72",8.70,"15,413.87",0,55,0.1,1,1
2021-01-29,"1,324,450.33",4.78,"15,820.80",0,77,0.54,2,1
2021-01-30,"1,323,064.10",-0.14,"15,825.67",0,76,0.52,2,1
