agent,window,train_start,train_end,trade_start,trade_end,sharpe_ratio,min_account_value,max_account_value,total_return,volatility (std),max_drawdown,initial_acc_val,final_acc_val,,Average Winners,Average Loosers
A2C,1,2020-05-04,2020-11-03,2020-11-05,2021-03-03,2.4701,"1,000,000.00","1,877,801.08",0.43,0.0648,0.2741,"1,000,000.00","1,428,029.60",,"1,210,118.96","784,086.40"
PPO,2,2020-07-04,2021-01-03,2021-01-03,2021-05-03,2.0133,"1,000,000.00","1,319,877.38",0.19,0.0338,0.2195,"1,000,000.00","1,193,599.35",,,
A2C,3,2020-09-04,2021-03-03,2021-03-05,2021-07-03,-1.6672,"427,880.23","1,102,643.02",-0.53,0.0937,0.6120,"1,000,000.00","471,284.68",,,
A2C,4,2020-11-04,2021-05-03,2021-05-05,2021-09-03,3.6340,"844,541.92","1,405,250.10",0.40,0.0320,0.1106,"1,000,000.00","1,397,869.18",,,
PPO,5,2021-01-04,2021-07-03,2021-07-06,2021-11-03,1.1858,"669,017.71","1,113,810.31",0.11,0.0478,0.3099,"1,000,000.00","1,113,810.31",,,
PPO,6,2021-03-04,2021-09-03,2021-09-05,2022-01-03,-0.1425,"906,185.25","1,159,928.41",-0.06,0.0387,0.2188,"1,000,000.00","941,135.30",,,
A2C,7,2021-05-04,2021-11-03,2021-11-05,2022-03-03,-0.8945,"685,026.80","1,000,000.00",-0.16,0.0451,0.3150,"1,000,000.00","836,944.00",,,
A2C,8,2021-07-04,2022-01-03,2022-01-03,2022-05-03,0.7394,"965,698.41","1,203,506.41",0.04,0.0265,0.1627,"1,000,000.00","1,040,781.61",,,
DDPG,9,2021-09-04,2022-03-03,2022-03-05,2022-07-03,-3.4326,"489,938.05","1,000,000.00",-0.47,0.0516,0.5101,"1,000,000.00","532,158.12",,,
A2C,10,2021-11-04,2022-05-03,2022-05-05,2022-09-03,2.2114,"875,293.14","1,671,139.46",0.33,0.0523,0.2806,"1,000,000.00","1,327,317.86",,,
PPO,11,2022-01-04,2022-07-03,2022-07-06,2022-11-03,1.5164,"957,000.47","1,118,007.41",0.10,0.0231,0.1440,"1,000,000.00","1,097,181.21",,,
A2C,12,2022-03-04,2022-09-03,2022-09-05,2023-01-03,-2.3050,"659,400.05","1,000,000.00",-0.30,0.0425,0.3406,"1,000,000.00","699,322.57",,,
PPO,13,2022-05-04,2022-11-03,2022-11-05,2023-03-03,4.3433,"997,989.89","1,449,187.41",0.37,0.0258,0.0848,"1,000,000.00","1,370,441.23",,,
PPO,14,2022-07-04,2023-01-03,2023-01-03,2023-05-03,2.3104,"909,572.01","1,351,910.54",0.20,0.0290,0.1310,"1,000,000.00","1,199,983.54",,,
A2C,15,2022-09-04,2023-03-03,2023-03-05,2023-07-03,-0.6102,"783,306.21","1,034,700.70",-0.05,0.0222,0.2430,"1,000,000.00","945,158.82",,,
PPO,16,2022-11-04,2023-05-03,2023-05-05,2023-09-03,-1.9056,"867,551.72","1,055,972.82",-0.12,0.0188,0.1784,"1,000,000.00","884,043.72",,,
A2C,17,2023-01-04,2023-07-03,2023-07-06,2023-11-03,1.9903,"952,975.42","1,077,488.22",0.08,0.0129,0.0565,"1,000,000.00","1,077,488.22",,,
PPO,18,2023-03-04,2023-09-03,2023-09-05,2024-01-03,3.6647,"998,820.37","1,281,447.89",0.28,0.0234,0.0647,"1,000,000.00","1,281,447.89",,,
A2C,19,2023-05-04,2023-11-03,2023-11-05,2024-03-03,5.2042,"929,341.93","1,441,516.16",0.43,0.0239,0.1052,"1,000,000.00","1,434,328.35",,,
DDPG,20,2023-07-04,2024-01-03,2024-01-04,2024-05-03,-1.2787,"819,692.74","1,120,086.24",-0.18,0.0383,0.2682,"1,000,000.00","823,468.49",,,
PPO,21,2023-09-04,2024-03-03,2024-03-05,2024-07-03,1.2141,"924,584.93","1,248,511.01",0.10,0.0322,0.1389,"1,000,000.00","1,097,107.19",,,
DDPG,22,2023-11-04,2024-05-03,2024-05-05,2024-09-03,-1.2009,"766,099.85","1,155,566.97",-0.17,0.0381,0.3370,"1,000,000.00","829,943.51",,,
PPO,23,2024-01-04,2024-07-03,2024-07-06,2024-11-03,0.4635,"907,904.17","1,120,749.61",0.02,0.0258,0.1255,"1,000,000.00","1,017,656.17",,,
PPO,24,2024-03-04,2024-09-03,2024-09-05,2025-01-03,2.6152,"1,000,000.00","1,333,721.05",0.26,0.0319,0.1333,"1,000,000.00","1,256,405.43",,,
PPO,25,2024-05-04,2024-11-03,2024-11-05,2025-03-03,-1.3329,"783,973.96","1,030,651.24",-0.12,0.0276,0.2393,"1,000,000.00","877,404.80",,,
DDPG,26,2024-07-04,2025-01-03,2025-01-03,2025-05-03,0.6095,"909,985.78","1,091,235.22",0.03,0.0233,0.1312,"1,000,000.00","1,028,456.18",,,
