date,account_value,daily_volatility,fear_greed,fear_greed_norm,window
2021-08-03,1000000,0,-1,-1,1
2021-08-04,1016784.75844723,18030.962853098,42,-0.16,1
2021-08-05,1041546.74747422,18544.6357924447,50,0,1
2021-08-06,1063202.62309778,19459.0892595796,52,0.04,1
2021-08-07,1138470.32033949,20215.2924245191,69,0.38,1
2021-08-08,1095358.48428693,19884.3038785492,74,0.48,1
2021-08-09,1149766.32075658,21006.8682154215,65,0.3,1
2021-08-10,1148173.85680181,20691.7305542882,71,0.42,1
2021-08-11,1159458.55501225,20647.9840599598,70,0.4,1
2021-08-12,1124916.16146739,20150.3383243921,70,0.4,1
2021-08-13,1218432.08278718,21685.8409198096,70,0.4,1
2021-08-14,1199732.9395535,21354.670242799,76,0.52,1
2021-08-15,1210626.85506109,21299.3614191897,71,0.42,1
2021-08-16,1169406.95914702,20828.3031371006,72,0.44,1
2021-08-17,1126345.53821996,20293.2896334445,72,0.44,1
2021-08-18,1124702.36072296,20298.5322617922,73,0.46,1
2021-08-19,1189931.33135426,21220.7922325539,70,0.4,1
2021-08-20,1239401.92064788,22399.1814349101,70,0.4,1
2021-08-21,1220198.63425225,22178.2584754293,78,0.56,1
2021-08-22,1226263.78724264,22371.6321886108,76,0.52,1
2021-08-23,1266435.04964699,22458.3787128234,79,0.58,1
2021-08-24,1210101.87536707,21643.3257461976,79,0.58,1
2021-08-25,1244309.30592411,22234.8815616909,73,0.46,1
2021-08-26,1190312.87152898,21267.4621093449,75,0.5,1
2021-08-27,1251374.3013642,22272.5712751631,71,0.42,1
2021-08-28,1240550.67850344,22198.7383125903,78,0.56,1
2021-08-29,1232497.61004113,22144.8777636911,72,0.44,1
2021-08-30,1213113.29186525,21308.2433734005,73,0.46,1
2021-08-31,1257985.43854644,21320.3563338113,73,0.46,1
2021-09-01,1365435.02762469,22034.3224084628,71,0.42,1
2021-09-02,1357475.05734178,22249.6303814752,74,0.48,1
2021-09-03,1397293.36588178,22570.4373192078,74,0.48,1
2021-09-04,1389249.07791728,22539.7970645759,72,0.44,1
2021-09-05,1419127.15005373,23390.6846441403,73,0.46,1
2021-09-06,1417031.79679734,23824.7226732741,79,0.58,1
2021-09-07,1238928.32376077,21219.2999723872,79,0.58,1
2021-09-08,1245324.91819462,20822.9409253677,47,-0.06,1
2021-09-09,1234588.26595407,21000.1447216351,45,-0.1,1
2021-09-10,1169328.11540275,20324.3179442596,46,-0.08,1
2021-09-11,1185592.74112471,20462.8970204628,31,-0.38,1
2021-09-12,1225478.95211427,20831.7471725585,32,-0.36,1
2021-09-13,1185339.32324669,20350.9702882628,44,-0.12,1
2021-09-14,1238855.01213977,21337.0950086041,30,-0.4,1
2021-09-15,1291242.31234329,21770.06841375,49,-0.02,1
2021-09-16,1275917.14404106,21600.9944842011,53,0.06,1
2021-09-17,1229679.42451468,21435.1044368225,48,-0.04,1
2021-09-18,1246093.86182289,21893.6810695465,50,0,1
2021-09-19,1214901.34326272,21422.2974235304,53,0.06,1
2021-09-20,1091555.89552524,19519.3622902958,50,0,1
2021-09-21,1022110.41225674,18495.7040662624,27,-0.46,1
2021-09-22,1122677.84483734,19742.8336599908,21,-0.58,1
2021-09-23,1150083.04663371,20347.6689369656,27,-0.46,1
2021-09-24,1075968.76826532,19435.5790447639,33,-0.34,1
2021-09-25,1071307.59889044,19372.5525353286,28,-0.44,1
2021-09-26,1101869.37230071,19575.4746449842,27,-0.46,1
2021-09-27,1062617.53153288,19129.0524366826,26,-0.48,1
2021-09-28,1027849.32548217,18627.839191909,25,-0.5,1
2021-09-29,1055325.76283087,18843.487680622,24,-0.52,1
2021-09-30,1111890.19782168,19888.9246098095,20,-0.6,1
2021-10-01,1222624.70522264,21846.517992654,27,-0.46,1
2021-10-02,1237897.26310433,21589.9958485282,54,0.08,1
2021-10-03,1249719.10323216,21848.7279841067,49,-0.02,1
2021-10-04,1248624.35366178,22338.9269744458,54,0.08,1
2021-10-05,1298653.06709769,23365.076123754,59,0.18,1
2021-10-06,1335884.20556045,25163.297558199,68,0.36,1
2021-10-07,1329107.6585906,24439.5004765322,76,0.52,1
2021-10-08,1317202.74901501,24527.9086428043,74,0.48,1
2021-10-09,1327935.77013507,24994.6758963868,72,0.44,1
2021-10-10,1284322.81245524,24896.8594040667,71,0.42,1
2021-10-11,1335381.34959013,26191.170071898,71,0.42,1
2021-10-12,1326774.87678102,25499.9258907014,78,0.56,1
2021-10-13,1372185.82550777,26113.2329187942,70,0.4,1
2021-10-14,1411936.47181718,26064.3817158938,70,0.4,1
2021-10-15,1460249.37671128,28083.0998891413,71,0.42,1
2021-10-16,1442669.22474879,27718.5447434075,78,0.56,1
2021-10-17,1453024.33233665,28020.9444118696,79,0.58,1
2021-10-18,1440470.57115608,28266.0819016195,78,0.56,1
2021-10-19,1486172.74656311,29305.9658083063,75,0.5,1
2021-10-20,1564462.87096718,30051.5791208349,82,0.64,1
2021-10-21,1501733.80283352,28289.663834176,84,0.68,1
2021-10-22,1477189.66081267,27596.3389734073,75,0.5,1
2021-10-23,1525571.3768674,27834.8272228312,74,0.48,1
2021-10-24,1500413.2021697,27650.8781481396,73,0.46,1
2021-10-25,1549570.28454957,28667.1190771343,72,0.44,1
2021-10-26,1508103.64581219,27393.4103360331,76,0.52,1
2021-10-27,1437697.93814974,26544.0764043321,73,0.46,1
2021-10-28,1548466.11390384,27473.2812939558,66,0.32,1
2021-10-29,1604514.01824547,28224.8253191102,70,0.4,1
2021-10-30,1580359.33527331,28060.1048757773,73,0.46,1
2021-10-31,1567282.69883675,27805.3104191751,74,0.48,1
2021-10-03,1000000,0,-1,-1,2
2021-10-04,993073.118940113,22338.9269744458,54,0.08,2
2021-10-05,1026953.72940097,23365.076123754,59,0.18,2
2021-10-06,1047035.73686076,25163.297558199,68,0.36,2
2021-10-07,1045888.50206114,24439.5004765322,76,0.52,2
2021-10-08,1040293.4334965,24527.9086428043,74,0.48,2
2021-10-09,1045982.53183736,24994.6758963868,72,0.44,2
2021-10-10,1005202.11109502,24896.8594040667,71,0.42,2
2021-10-11,1044916.2956381,26191.170071898,71,0.42,2
2021-10-12,1028391.57319029,25499.9258907014,78,0.56,2
2021-10-13,1061237.00774206,26113.2329187942,70,0.4,2
2021-10-14,1106843.44891741,26064.3817158938,70,0.4,2
2021-10-15,1138353.14591086,28083.0998891413,71,0.42,2
2021-10-16,1126356.14197979,27718.5447434075,78,0.56,2
2021-10-17,1132415.03032141,28020.9444118696,79,0.58,2
2021-10-18,1108500.27653099,28266.0819016195,78,0.56,2
2021-10-19,1147716.83010315,29305.9658083063,75,0.5,2
2021-10-20,1223319.01738841,30051.5791208349,82,0.64,2
2021-10-21,1185571.31856703,28289.663834176,84,0.68,2
2021-10-22,1161335.63662116,27596.3389734073,75,0.5,2
2021-10-23,1211560.66285674,27834.8272228312,74,0.48,2
2021-10-24,1189176.13150706,27650.8781481396,73,0.46,2
2021-10-25,1229800.5536765,28667.1190771343,72,0.44,2
2021-10-26,1199978.40126675,27393.4103360331,76,0.52,2
2021-10-27,1142281.65003623,26544.0764043321,73,0.46,2
2021-10-28,1239221.06719814,27473.2812939558,66,0.32,2
2021-10-29,1277245.83775392,28224.8253191102,70,0.4,2
2021-10-30,1252187.33044627,28060.1048757773,73,0.46,2
2021-10-31,1241774.47959492,27805.3104191751,74,0.48,2
2021-11-01,1248908.5515045,27608.6212625199,74,0.48,2
2021-11-02,1322673.73977027,28637.0971053635,73,0.46,2
2021-11-03,1325226.38637532,28478.3726579112,76,0.52,2
2021-11-04,1303295.73307631,27789.3100637169,73,0.46,2
2021-11-05,1287924.60151054,27573.5324462717,73,0.46,2
2021-11-06,1300525.85460125,27807.4719234681,71,0.42,2
